season,player,nation,pos,age,mp,starts,min,goals,assists
2008-2009,Alexander Hleb,by BLR,MF,27.0,19,8,730,0,3
2008-2009,Pedro,es ESP,"FW,MF",21.0,6,4,355,0,0
2008-2009,Víctor Sánchez,es ESP,"DF,MF",20.0,7,3,250,0,0
2008-2009,José Manuel Pinto,es ESP,GK,32.0,2,2,180,0,0
2008-2009,Xavi Torres,es ESP,"DF,MF",21.0,2,2,180,0,0
2008-2009,Oier Olazábal,es ESP,GK,18.0,1,1,90,0,0
2008-2009,Marc Muniesa,es ESP,"DF,MF",16.0,1,0,31,0,0
2008-2009,Jeffrén Suárez,ve VEN,"FW,MF",20.0,2,0,30,0,0
2008-2009,Alberto Botía,es ESP,DF,19.0,1,0,28,0,0
2008-2009,Thiago Alcántara,es ESP,MF,17.0,1,0,18,0,0
2008-2009,Abraham González,es ESP,MF,23.0,1,0,15,0,0
2009-2010,Lionel Messi,ar ARG,"FW,MF",22.0,35,30,2805,34,9
2009-2010,Zlatan Ibrahimović,se SWE,FW,27.0,29,23,2040,16,6
2009-2010,Pedro,es ESP,"FW,MF",22.0,34,22,2087,12,2
2009-2010,Bojan Krkić,es ESP,"FW,MF",18.0,23,11,1023,8,2
2009-2010,Seydou Keita,ml MLI,MF,29.0,29,23,2096,6,2
2009-2010,Thierry Henry,fr FRA,FW,31.0,21,15,1223,4,1
2009-2010,Xavi,es ESP,MF,29.0,34,31,2797,3,13
2009-2010,Dani Alves,br BRA,"DF,MF",26.0,29,28,2493,3,8
2009-2010,Gerard Piqué,es ESP,DF,22.0,32,29,2541,2,0
2009-2010,Jeffrén Suárez,ve VEN,"FW,MF",21.0,12,6,402,2,0
2009-2010,Carles Puyol,es ESP,DF,31.0,32,31,2712,1,1
2009-2010,Andrés Iniesta,es ESP,MF,25.0,29,20,1905,1,3
2009-2010,Yaya Touré,ci CIV,MF,26.0,23,18,1485,1,3
2009-2010,Rafael Márquez,mx MEX,"DF,MF",30.0,15,7,771,1,0
