ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.703165,,,,,,,,,,,9b1f37b3-0f48-47d3-b18b-bf41cc3d278c,3359,,"[42.5, 45.9]",3773571,79,,,,1.1171627,,Left Foot,,,"[56.2, 74.0]",,Ground Pass,,31.261797,,,,Óscar Mingueza García,43728.0,,,,,,,2,Regular Play,Héctor Junior Firpo Adames,17304.0,Left Wing Back,184,Barcelona,217,['7f964351-f0a1-4f27-9cee-a0b5e1fdaa73'],57,,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:57.381,Pass,,2020/2021
,,,,,,,,,,,,,,,3.355626,,,,,,,,,,,41921d55-7a9f-4174-8d9c-49033467b55e,3362,,"[56.5, 69.9]",3773571,80,,,,-0.25933173,,Right Foot,,,"[110.4, 55.6]",,Low Pass,,55.764683,,Incomplete,,Sergino Dest,21881.0,,,,,,,2,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,184,Barcelona,217,"['00bed821-5e6b-4d5e-a4a3-140240ab37ee', '5fffa751-3ac1-467e-b6a8-47c4644aea1f']",0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:00.123,Pass,,2020/2021
,,,,,,,,,,,,,,,1.291214,,,,,,,,,,,c38c262f-0146-4e48-af5f-f4363b674186,3366,,"[13.5, 28.3]",3773571,80,,,,-0.20977117,,Keeper Arm,,,"[29.0, 25.0]",,Ground Pass,,15.847397,,,,Enrique Pérez Muñoz,40881.0,,,,,,,2,Regular Play,Jordi Masip López,11302.0,Goalkeeper,185,Real Valladolid,901,['3697701b-9e82-465b-9633-fcea489d1341'],4,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:04.624,Pass,,2020/2021
,,,,,,,,,,,,,,,1.133356,,,,,,,,,,,1a1dd7d4-3510-4d57-9e79-838d524ad8fc,3369,,"[39.6, 20.1]",3773571,80,,,,-0.9894161,,Left Foot,,,"[48.8, 6.1]",,Ground Pass,,16.752314,,,,Laureano Antonio Villa Suárez,11291.0,,,,,,,2,Regular Play,Enrique Pérez Muñoz,40881.0,Left Midfield,185,Real Valladolid,901,['57f61ea4-16c4-4825-b413-829b9fa3aa59'],8,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:08.036,Pass,,2020/2021
,,,,,,,,,,,,,,,2.439188,,,,,,,,,,,6420b8ca-d051-4a27-8dc9-c62833dbda22,3371,,"[48.8, 6.1]",3773571,80,,,,0.5362223,,Right Foot,,,"[76.9, 22.8]",,Ground Pass,,32.68792,,,,Sergio Guardiola Navarro,17027.0,,,,,,,2,Regular Play,Laureano Antonio Villa Suárez,11291.0,Left Center Forward,185,Real Valladolid,901,['210dfc8d-aa06-42e5-80f9-d8c5c044bc11'],9,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:09.169,Pass,,2020/2021
,,,,,,,,,,,,,,,0.235478,,,,,,,,,,,53a39e6e-4855-47c3-9fce-c8a959c0bce2,3374,,"[87.4, 24.5]",3773571,80,,,,0.7744096,,Left Foot,,,"[92.0, 29.0]",,Low Pass,,6.43506,,Incomplete,,Shon Zalman Weissman,29310.0,,,,,,,2,Regular Play,Sergio Guardiola Navarro,17027.0,Left Center Midfield,185,Real Valladolid,901,"['1652b3bf-ee36-484c-b2c0-a19ad9684e7d', '191296b5-820b-4770-9411-681e8003b4a8']",13,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:13.825,Pass,,2020/2021
,,,,,,,,,,,,,,,2.573844,,,,,,,,,,,f83094b5-e12f-4f21-a70b-8739ec4cb08e,3378,,"[13.6, 47.9]",3773571,80,True,,,-0.4878789,,Keeper Arm,,,"[51.1, 28.0]",,High Pass,,42.453033,,,,Pedro González López,30486.0,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,185,Real Valladolid,901,['ca1e2e32-341d-4e86-a989-797e0d7f0dcf'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:22.870,Pass,,2020/2021
,,,,,,,,,,,,,,,1.327622,,,,,,,,,,,8eb5f2f5-a997-4060-b129-8f98b507e14e,3380,,"[50.0, 28.0]",3773571,80,,,,1.7528085,,Head,,,"[47.0, 44.3]",,Low Pass,,16.573774,,Incomplete,,,,,,,,,,2,Regular Play,Pedro González López,30486.0,Left Attacking Midfield,185,Real Valladolid,901,['d8a6bc69-e4e0-4c7c-948f-3d8be19e4ce8'],25,,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:25.443,Pass,,2020/2021
,,,,,,,,,,,,,,,0.99152,,,,,,,,,,,85f374c5-869c-49f4-9dcb-cacd7e991039,3384,,"[73.7, 35.2]",3773571,80,,,,2.2625465,,Left Foot,,,"[65.5, 45.1]",,Ground Pass,,12.85496,,,,Roque Mesa Quevedo,3610.0,,,,,,,2,Regular Play,Enrique Pérez Muñoz,40881.0,Left Midfield,185,Real Valladolid,901,"['187c44db-7c36-4e07-b838-e45acd7f3c88', '36d340b3-d731-474b-a4fe-d1de5502d1fb']",28,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:28.146,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.030446,,,,,,,,,,,d20e9e60-bf0d-4dd3-85b5-4f7f1d26bffc,3387,,"[64.5, 45.1]",3773571,80,,,,-1.2910379,,Left Foot,,,"[69.7, 27.0]",,Ground Pass,,18.832153,,,,Laureano Antonio Villa Suárez,11291.0,,,,,,,2,Regular Play,Roque Mesa Quevedo,3610.0,Right Center Midfield,185,Real Valladolid,901,['2c541d40-56cb-4ee9-bdd5-4ef508f5dfa3'],29,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:35:29.637,Pass,,2020/2021
