50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,"[93.4, 48.5]",,,,,,,,,,,,0.527446,,,,,,,,,,,,,,,34a234b1-f321-46ea-b207-87b8ac546898,528,,"[92.7, 49.9]",68354,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,20,Barcelona,217,"['2fed3d0a-211e-46a6-8a84-9de3b04bf1c3', '7957fd9b-eff7-45fc-abe4-b7a1b7bb1b06', 'ec5bee4b-52f1-474a-879c-274779518dee']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:10:03.560,Carry,True,2005/2006
,,,,"[9.3, 46.3]",,,,,,,,,,,,1.378025,,,,,,,,,,,,,,,bea5df76-db51-49ec-b5ae-a77c36bd1e78,536,,"[9.3, 46.3]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,23,Barcelona,217,"['80580875-71f6-486b-9e7a-fa630ba84134', 'a5b3e87c-2628-447a-bb54-dcc90eca31a9']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:11:29.478,Carry,,2005/2006
,,,,"[35.7, 20.0]",,,,,,,,,,,,1.670595,,,,,,,,,,,,,,,5f89dd89-64ec-4481-9094-b4f802c7713b,539,,"[21.7, 23.4]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Left Center Back,23,Barcelona,217,"['38a3b9e5-92de-4a1f-a870-9b688682a2da', 'bd50ecee-7af8-4e9c-9b1f-7abfb3560561']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:11:32.683,Carry,,2005/2006
,,,,"[50.4, 3.9]",,,,,,,,,,,,0.092497,,,,,,,,,,,,,,,24ef44d2-8e25-4dd6-ae0d-5beb6eb8d12e,542,,"[51.6, 3.1]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,23,Barcelona,217,"['705f3bcd-e522-43a7-935f-4ccec71c6814', 'c460ac52-b8e4-4ad0-afc8-bb0812ee0c0d']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:11:36.404,Carry,,2005/2006
,,,,"[43.2, 23.7]",,,,,,,,,,,,2.031524,,,,,,,,,,,,,,,077b4dc3-ce97-44c0-939f-39623ae074db,545,,"[46.8, 17.1]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Right Center Midfield,23,Barcelona,217,"['36c82133-d246-4ae5-8fc0-e4aed0bd05f4', '4d6a2701-2cc6-4f6e-8c16-deb0c05fc366']",37,,,,,,,,,,,,,,,,,Barcelona,217,00:11:37.510,Carry,,2005/2006
,,,,"[47.2, 67.1]",,,,,,,,,,,,0.104037,,,,,,,,,,,,,,,077aca24-e0dc-4efa-bfaa-6bbea88267ed,548,,"[47.2, 68.8]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juliano Haus Belletti,25863.0,Right Back,23,Barcelona,217,"['9d6891c7-9405-4111-9bc1-10291b8846ac', 'd7bf55e4-ecce-4e58-84a2-9ab2e068f037']",43,,,,,,,,,,,,,,,,,Barcelona,217,00:11:43.037,Carry,,2005/2006
,,,,"[56.3, 46.8]",,,,,,,,,,,,8.021529,,,,,,,,,,,,,,,6f79d72d-00ec-4c25-887f-fbb53001c226,551,,"[42.9, 55.4]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Carles Puyol i Saforcada,20125.0,Right Center Back,23,Barcelona,217,"['3edc0db1-0fe7-4eee-8d63-c61c117850bf', '4f1274b2-7760-4c36-b061-2551a956c6e9']",44,,,,,,,,,,,,,,,,,Barcelona,217,00:11:44.983,Carry,,2005/2006
,,,,"[78.6, 31.9]",,,,,,,,,,,,0.552205,,,,,,,,,,,,,,,f160f72f-7526-4579-b168-952423bafa7f,554,,"[76.9, 34.2]",68354,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Samuel Eto''o Fils,19298.0,Center Forward,23,Barcelona,217,"['035778f0-75d1-4863-9fc1-d471635ea08d', '863bd97d-a4bb-4c83-80d7-bbb38d1a70fa', 'c062bec1-faba-41e3-9016-5e82e1868716']",53,,,,,,,,,,,,,,,,,Barcelona,217,00:11:53.841,Carry,True,2005/2006
,,,,"[67.9, 28.1]",,,,,,,,,,,,4.442526,,,,,,,,,,,,,,,5b0142ae-e0cf-4d93-bd80-a7485cca2eac,561,,"[47.4, 39.8]",68354,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Left Center Back,24,Barcelona,217,"['1937d019-6cf4-4348-8485-694979fd575e', 'bc71c56c-fe77-439e-ab49-7328b6b23172']",12,,,,,,,,,,,,,,,,,Barcelona,217,00:12:12.688,Carry,,2005/2006
,,,,"[81.3, 23.9]",,,,,,,,,,,,0.339942,,,,,,,,,,,,,,,959e5477-1269-463a-9949-ee5460ba48e9,565,,"[80.7, 22.4]",68354,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ronaldo de Assis Moreira,25879.0,Left Wing,24,Barcelona,217,"['056629aa-7907-44a6-838d-c7f48c2b9a88', '153c4733-c124-4a30-aec4-3050fb2709ce', '6415c343-88e6-4cd5-a981-97954aaf7a8a', 'b407fa81-54c6-4a30-b6c6-92907f437924']",18,,,,,,,,,,,,,,,,,Barcelona,217,00:12:18.066,Carry,True,2005/2006
