ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e0eace3a-6083-4be2-a9e3-2e217d3bcf85,1659,,"[20.7, 12.4]",69300,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ivan Obradović,23651.0,Left Wing Back,66,Barcelona,217,"['7b29de99-63fa-43b1-9f8e-caf3329b1f6c', 'f4cb5681-149d-420e-a89a-d99310b599c4']",49,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:36:49.165,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,845f4e7a-59f1-45e2-a30d-238c59f31b12,1666,,"[22.5, 25.6]",69300,36,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Ander Herrera Agüera,3606.0,Center Attacking Midfield,66,Barcelona,217,"['26f91f2d-7c3f-45dc-b156-0ea800b8a2fd', '77caa571-e2b2-418a-99ef-1835c19f038d']",54,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:36:54.676,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,72d5d554-933b-4f17-af6a-80a3dd9ea9ca,1760,,"[39.7, 42.5]",69300,40,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ádám Pintér,10815.0,Right Center Midfield,72,Barcelona,217,"['2fbb417d-d3f3-483e-a571-bfc787c1d1d5', 'b127e6a9-c894-4dff-a7bd-1be30a0eb65d']",0,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:40:00.747,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,583e25f1-0619-410c-9757-f582a163e5af,1802,,"[56.8, 76.8]",69300,41,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,74,Barcelona,217,['a9fb6d1c-3890-4b40-bbcc-64705d29b0c6'],21,,,,,,,,,,,,,,,,,Barcelona,217,00:41:21.621,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7507629a-6fb0-4e69-affd-250345c843f3,1844,,"[19.6, 17.9]",69300,42,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Guirane N''Daw,26760.0,Left Center Midfield,77,Barcelona,217,"['b79e2229-cff4-460b-baab-09ccb07d3a22', 'be9ecd8f-e06d-49eb-afa0-68ae852c6738']",10,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:42:10.048,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,61dd0736-6432-4ada-ac36-819eeeccc472,1920,,"[29.2, 4.5]",69300,45,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Guirane N''Daw,26760.0,Left Center Midfield,82,Barcelona,217,"['9ea4256e-8a07-4ec2-8521-f618041ff397', 'f5630ae8-207b-4a56-9367-25f3798355a8']",37,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:45:37.268,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8a61751a-4740-4aa4-980d-ba8ef7fa6b8c,2214,,"[14.4, 57.1]",69300,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Counter,Gerard Piqué Bernabéu,5213.0,Right Center Back,93,Real Zaragoza,395,"['8fb5b75c-799d-460e-bdbd-483013dfac82', 'efc9349c-888d-4290-a09e-60bcb5295bed']",14,,,,,,,,,,,,,,,,,Barcelona,217,00:05:14.446,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,60b621e2-bbfd-4437-8701-abf7e7082d7a,2356,,"[106.1, 62.3]",69300,54,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Daniel Alves da Silva,4324.0,Right Back,99,Real Zaragoza,395,['cb1d0096-112b-4d7d-b3e0-2e960916907f'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:09:54.224,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7639b13c-4b35-47da-866e-8a5e86ff8586,2531,,"[20.0, 21.0]",69300,59,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jirí Jarošík,26655.0,Center Back,113,Barcelona,217,"['6358f77f-2218-421c-8ed5-49ada5bfcd50', 'db4762c3-cca5-495e-bf62-0941e623200c']",27,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:14:27.041,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3b7b7508-9cf5-4220-9f79-c4f2d20b474f,2607,,"[51.6, 30.6]",69300,61,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,José Edmílson Gomes de Moraes,25910.0,Right Center Midfield,117,Barcelona,217,"['6622af7c-b722-4d72-a9dd-5bfd3e39461b', 'fb38c390-e9c2-420c-ba8f-e9eb122935ff']",11,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:16:11.498,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,79f4e235-a813-4807-b690-599e910df052,2674,,"[24.3, 56.2]",69300,62,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Maurizio Lanzaro,26715.0,Right Center Back,118,Barcelona,217,"['4a448bb9-ac00-4a2b-8695-802b34d688b4', '513b141f-4229-47c6-9e28-d07fc5cdbc37']",25,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:17:25.499,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8de22a2b-8e7d-4ea3-901c-31e39de29b47,2831,,"[45.9, 73.1]",69300,66,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ander Herrera Agüera,3606.0,Center Attacking Midfield,126,Barcelona,217,"['181e34cb-91ce-46a8-905d-df29e8da1e54', '1d0b4c85-045f-4819-acce-27df487aafd9', '367db4df-8ad5-4b16-af5f-c9963ae6d1d5']",48,,,,,,,,,,,,,,,,,Real Zaragoza,395,00:21:48.610,Dribbled Past,,2010/2011
