bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d67583ba-ee4a-47bd-94ca-88a70f28ba0b,57,,,"[46.9, 70.1]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,4,Barcelona,217,"['521f9095-738c-4d76-ab9f-fd7a532a6aaf', '747b11cd-3df0-400c-9a60-c8ad9c42c396']",15,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.240,Ball Receipt*,True,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ebf17ad-e4dd-4b9f-8808-f3b0cf411552,60,,,"[41.8, 59.9]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lilian Thuram,15071.0,Right Center Back,4,Barcelona,217,['b53d9e10-122e-453b-91e8-de8a5bb539db'],16,,,,,,,,,,,,,,,,Barcelona,217,00:01:16.783,Ball Receipt*,,2006/2007
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,204e8314-279f-4687-be93-169ea4583c76,64,,,"[104.0, 49.1]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samuel Eto''o Fils,19298.0,Left Wing,4,Barcelona,217,['a49b4ecb-134d-4701-b0b7-ce14475ad858'],24,,,,,,,,,,,,,,,,Barcelona,217,00:01:24.632,Ball Receipt*,,2006/2007
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,09c8bf11-00fa-477a-b7c0-fe1894fc01ac,67,,,"[82.1, 68.4]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ferrán Corominas Telechea,26102.0,Right Midfield,5,Espanyol,214,['4fd22fc2-bf74-4690-abab-3f0131c51a8e'],39,,,,,,,,,,,,,,,,Espanyol,214,00:01:39.070,Ball Receipt*,,2006/2007
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,153c5109-1521-4f01-9949-36c3176a50aa,70,,,"[58.5, 12.0]",69165,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Center Forward,5,Espanyol,214,['7e0ae7ef-a3e2-441f-995d-b205a0e7dc65'],39,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.094,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4b1168dd-ab10-43ea-921d-63dfa7d47021,74,,,"[76.0, 71.9]",69165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ferrán Corominas Telechea,26102.0,Right Midfield,6,Espanyol,214,['a2733e45-a495-492c-a09c-aeaa221a4ffb'],5,,,,,,,,,,,,,,,,Espanyol,214,00:02:05.489,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be8b983b-0f72-4eab-80a9-07f2590db1d7,77,,,"[81.7, 61.9]",69165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Luis García Fernández,23916.0,Center Attacking Midfield,6,Espanyol,214,['08b954d4-8354-4d3c-bfa4-fc1d85f12741'],6,,,,,,,,,,,,,,,,Espanyol,214,00:02:06.812,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cbd50f0-6d93-4991-b8c4-bb1b6bf4e3da,81,,,"[73.7, 53.1]",69165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Moisés Hurtado Pérez,26162.0,Right Center Midfield,6,Espanyol,214,['090ad7c5-ebd3-47d4-a37c-888bf287e064'],8,,,,,,,,,,,,,,,,Espanyol,214,00:02:08.465,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42f71761-e165-4d58-bed6-1a9b37ddcbab,85,,,"[62.5, 38.0]",69165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Iván De la Peña López,26105.0,Left Center Midfield,6,Espanyol,214,['c5ec669d-62c4-4faf-8c3f-8f6a9674aa08'],10,,,,,,,,,,,,,,,,Espanyol,214,00:02:10.655,Ball Receipt*,,2006/2007
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6d0353a1-7ef5-4fe8-b887-253d49ec3725,89,,,"[82.7, 48.4]",69165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ferrán Corominas Telechea,26102.0,Right Midfield,6,Espanyol,214,"['14c02f8b-fe88-47d6-919a-066b95a96615', '52ff3d51-6722-4535-b634-07147300bdd6']",15,,,,,,,,,,,,,,,,Espanyol,214,00:02:15.191,Ball Receipt*,True,2006/2007
