bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,71c4f544-8550-4eee-be48-795009169c6d,525,,"[40.1, 56.1]",69249,12,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,41,Real Madrid,220,['58232511-9743-426c-9a57-3527b503b677'],24,,,,,,,,,,,,,,,,Barcelona,217,00:12:24.749,Duel,True,2008/2009
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,cd0ace79-524f-4663-9bca-60cdf4839e73,683,,"[66.8, 15.8]",69249,16,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,48,Real Madrid,220,['458dc619-bbaf-4d14-9207-c3c6f74647c1'],44,,,,,,,,,,,,,,,,Barcelona,217,00:16:44.736,Duel,True,2008/2009
,,,,,,,,,,,,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,32db37c4-06c8-44a7-80d0-133f19453538,903,,"[34.4, 25.5]",69249,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,55,Real Madrid,220,['da0b7252-63a2-4e7a-85d0-ba87f588cd97'],14,,,,,,,,,,,,,,,,Barcelona,217,00:23:14.450,Duel,True,2008/2009
,,,,,,,,,,True,,,,Won,Tackle,0.0,,,,,,,,,,,,,f67f2532-ce89-40e9-883b-89f84b239e80,920,,"[48.8, 50.6]",69249,23,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Daniel Alves da Silva,4324.0,Right Back,57,Barcelona,217,['b8ebd046-e50c-4744-aed9-df134f8a22bd'],38,,,,,,,,,,,,,,,,Barcelona,217,00:23:38.433,Duel,True,2008/2009
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,2e9d45d3-c099-4881-a9f4-71c3b9ba788b,959,,"[14.8, 55.5]",69249,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Sergio Ramos García,5201.0,Right Back,59,Barcelona,217,['51f16a91-f55e-4562-ba40-24a7a67fd130'],16,,,,,,,,,,,,,,,,Real Madrid,220,00:25:16.730,Duel,True,2008/2009
,,,,,,,,,,True,,,,Won,Tackle,0.0,,,,,,,,,,,,,a1353461-7cb1-4cbb-b1e7-72d9f4c7ea15,964,,"[81.4, 11.6]",69249,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,59,Barcelona,217,['6c06aa22-d647-4ddb-95e9-7ce672fbafef'],20,,,,,,,,,,,,,,,,Barcelona,217,00:25:20.312,Duel,True,2008/2009
,,,,,,,,,,True,,,,Won,Tackle,0.0,,,,,,,,,,,,,3e70f13d-8eb8-45b6-a47c-6d1a0b1dbbf4,1225,,"[40.8, 31.7]",69249,31,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fernando Rubén Gago,26036.0,Left Defensive Midfield,72,Real Madrid,220,['7ec92fe5-c5c1-486f-ae4d-47af4c28b271'],20,,,,,,,,,,,,,,,,Real Madrid,220,00:31:20.310,Duel,True,2008/2009
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,ee3848c7-19e5-4d14-88fc-d8f0e465d98a,1352,,"[47.5, 41.4]",69249,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Carles Puyol i Saforcada,20125.0,Left Center Back,79,Real Madrid,220,['3d82777d-40d5-4299-a26c-aa95497d1bd3'],38,,,,,,,,,,,,,,,,Barcelona,217,00:34:38.499,Duel,True,2008/2009
,,,,,,,,,,,,,,Won,Tackle,0.0,,,,,,,,,,,,,8a628afe-da0f-443e-a612-13d6b22d9620,1359,,"[58.5, 27.9]",69249,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,79,Real Madrid,220,['bb6bdd3e-c962-4baf-948c-d2e486f64da6'],44,,,,,,,,,,,,,,,,Barcelona,217,00:34:44.757,Duel,True,2008/2009
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,e110744a-8eef-40f7-8342-22c1e4d74a95,1374,,"[78.3, 46.7]",69249,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Xavier Hernández Creus,20131.0,Left Center Midfield,79,Real Madrid,220,['a1672d0a-0186-4c11-825e-84ad579a3713'],57,,,,,,,,,,,,,,,,Barcelona,217,00:34:57.012,Duel,True,2008/2009
