ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62b91962-0bd0-4271-9cf1-5d19a42b8f0e,2267,,"[36.0, 46.5]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,99,Barcelona,217,['93598699-debf-4f11-9b34-b721ee40129c'],12,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:12.336,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e29dd27b-fcfe-4efe-8436-69d2b6656749,2270,,"[39.0, 63.0]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,99,Barcelona,217,['9b8faabc-894b-428b-beff-8ac67a8aea36'],14,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:14.421,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37757d95-7c26-4f24-b146-f6e5ac6f88a2,2273,,"[29.5, 68.5]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,99,Barcelona,217,['ef931897-cd88-43f2-8a1c-aac21b6dc4a8'],17,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:17.900,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1e8cad7-b17e-485c-9a9e-08c5ad822ebc,2276,,"[39.9, 57.5]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,99,Barcelona,217,['744a0114-1fe8-454a-ad34-7e98bbe30db8'],20,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:20.008,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498e81b2-b2a0-4f20-8ae2-4d52a57c0600,2280,,"[9.8, 45.8]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,99,Barcelona,217,['7217ff84-0f54-4c93-905f-2c0a64ef79ea'],22,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:22.788,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3a5d1ed-7309-41d3-849e-ac4108abdded,2283,,"[15.0, 17.4]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Samuel Yves Umtiti,5492.0,Left Center Back,99,Barcelona,217,['d50f3bbc-60d2-4fe0-9257-c5a60ff8ae27'],26,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:26.529,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085fb23-e492-4028-8cfd-a5fbca2be1fc,2286,,"[4.5, 32.5]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Marc-André ter Stegen,20055.0,Goalkeeper,99,Barcelona,217,['1e536b0f-85d6-44bd-942d-7e6de001c094'],28,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:28.011,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c02a25c2-f37e-468d-b342-8fd02d01aba8,2289,,"[20.6, 30.0]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,99,Barcelona,217,['70ab838c-c15e-4a50-9c84-d69dc1840346'],31,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:31.276,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d134edd8-c99c-4da7-acef-7bd9dc582fdd,2293,,"[53.8, 40.3]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,Right Center Forward,99,Barcelona,217,['93eb0fcf-f1d3-4a3c-9a09-85cbeeae2f04'],34,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:34.465,Ball Receipt*,,2016/2017
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4a868a84-e400-414f-acc9-76aef2362db5,2296,,"[44.1, 45.8]",267373,53,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,99,Barcelona,217,['ea3b7eb8-5f9c-4464-b131-cbc0076ccc09'],35,,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:35.598,Ball Receipt*,,2016/2017
