50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289e963f-0fa4-430b-8d6a-006495bf7cc8,270,,"[36.5, 75.2]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergi Darder Moll,3236.0,Right Defensive Midfield,12,Málaga,223,['9d8e2631-4f9e-4a6c-b517-eeeec49864c3'],33,,,,,,,,,,,,,,,,,Málaga,223,00:05:33.062,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5a9b7053-a5c5-4aad-8b3d-dbb6dc8db403,272,,"[55.3, 17.6]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,13,Barcelona,217,['104fdf27-7f02-4769-a626-2053f40d1ac5'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:05:35.057,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be04b3d5-d7b6-4c18-9ebe-4af4d84f1f5e,275,,"[56.8, 32.3]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Rakitić,5470.0,Left Center Midfield,13,Barcelona,217,['c159a51e-4532-4943-a9c6-3f4b699fe01e'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:05:37.630,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7c43091d-9e78-45df-aa4a-2221f77beb19,278,,"[67.9, 14.0]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,13,Barcelona,217,['dd8d4443-a883-44e6-b6d1-c534e790e95d'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:05:40.628,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d1af2d4f-90da-4cd1-8af9-96cebd475231,281,,"[53.9, 30.0]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,13,Barcelona,217,['2bd537e3-d73e-4c6b-861f-575c67d95d63'],43,,,,,,,,,,,,,,,,,Barcelona,217,00:05:43.969,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580d25f4-efc3-4274-b1a2-69af8e1fbd93,284,,"[55.5, 51.9]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,13,Barcelona,217,['1bd98668-95d8-4491-a0fb-403885781b73'],47,,,,,,,,,,,,,,,,,Barcelona,217,00:05:47.549,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620466f7-01dc-4318-b2c1-80e88a6cff0d,287,,"[68.4, 76.9]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Douglas Pereira dos Santos,27318.0,Right Back,13,Barcelona,217,['fed0c1a1-9d3d-4559-b70f-e8f67416373c'],50,,,,,,,,,,,,,,,,,Barcelona,217,00:05:50.596,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d135bf8c-82ff-4f04-b418-55d7c0dbaafe,290,,"[47.6, 43.7]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marc Bartra Aregall,7068.0,Left Center Back,13,Barcelona,217,['cb3b9321-7e7f-43d8-a5c1-4e2e50e8fbf3'],55,,,,,,,,,,,,,,,,,Barcelona,217,00:05:55.281,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2c44e2c9-8739-492f-9e6e-91f663098c08,292,,"[54.7, 53.1]",266838,5,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,13,Barcelona,217,['7dae8720-3649-463a-a0ac-769339f44ad8'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:05:56.355,Ball Receipt*,,2014/2015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1a6097a2-b799-4371-8bb4-ffea1b6512ce,295,,"[69.2, 24.1]",266838,6,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,13,Barcelona,217,['863c48f6-ac3b-4b25-ba96-aab004b2e2e4'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:06:02.666,Ball Receipt*,,2014/2015
