bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,1.6005,,,,,,,,,,,,,5177d534-4389-4406-87bc-f84b6f737a3e,2548,,"[73.1, 32.7]",69277,67,,,,,3.036165,,Left Foot,,"[54.2, 34.7]",,Ground Pass,,19.005526,,,,,José Romero Urtasun,25865.0,,,,,,,2,Regular Play,Javier Camuñas Gallego,26169.0,Left Wing,154,Osasuna,422,['64127405-4380-407d-b5df-cc7ff3a62c68'],7,,,,,,,,,,,,,,,,,Osasuna,422,00:22:07.717,Pass,,2009/2010
,,,,,,,,,,,,,,,1.876105,,,,,,,,,,,,,1e386746-ce44-414a-9f80-39fbd96bb9f6,2551,,"[54.2, 31.8]",69277,67,,,,,-1.0584068,,Right Foot,,"[64.1, 14.2]",,Ground Pass,,20.193316,,,,,Javier Camuñas Gallego,26169.0,,,,,,,2,Regular Play,José Romero Urtasun,25865.0,Left Center Back,154,Osasuna,422,['662afa84-b11d-4179-9c87-bf740feefce7'],9,,,,,,,,,,,,,,,,,Osasuna,422,00:22:09.986,Pass,,2009/2010
,,,,,,,,,,,,,,,1.320875,,,,,,,,,,,,,7e980d46-d31c-444a-82c5-5e48d735bdf3,2555,,"[95.2, 16.6]",69277,67,,,,,-0.8276266,,Right Foot,,"[105.4, 5.5]",,Ground Pass,,15.074814,,,,,Ignacio Monreal Eraso,3498.0,,,,,,,2,Regular Play,Javier Camuñas Gallego,26169.0,Left Wing,154,Osasuna,422,"['df74758c-80eb-4c97-88e3-920c13516959', 'e0c9f312-42e5-4826-88cf-082c1b319921']",16,,,,,,,,,,,,,,,,,Osasuna,422,00:22:16.354,Pass,True,2009/2010
,,,,,,,,,,,,,,,1.52631,,,,,,,,,,,,,70a53885-9122-4a64-a633-3d1231db245d,2558,,"[95.8, 14.2]",69277,67,,,,,2.3769383,,Left Foot,,"[83.5, 26.0]",,Ground Pass,,17.04494,,,,,Javad Nekounam,26002.0,,,,,,,2,Regular Play,Ignacio Monreal Eraso,3498.0,Left Back,154,Osasuna,422,['651d02e1-dac1-4fa6-a904-c0bfaa19973c'],21,,,,,,,,,,,,,,,,,Osasuna,422,00:22:21.082,Pass,,2009/2010
,,,,,,,,,,,,,,,1.544129,,,,,,,,,,,,,495c6dc6-ea1e-4111-a19b-9b65d4dce062,2562,,"[83.2, 26.0]",69277,67,,,,,2.3876307,,Right Foot,,"[75.0, 33.7]",,Ground Pass,,11.248555,,,,,Francisco Puñal Martínez,25874.0,,,,,,,2,Regular Play,Javad Nekounam,26002.0,Left Center Midfield,154,Osasuna,422,"['5915b0f0-1f9b-4693-9208-010c933c74fb', 'fd83ba43-0e39-456d-9da2-abed9f1d3125']",23,,,,,,,,,,,,,,,,,Osasuna,422,00:22:23.463,Pass,True,2009/2010
,,,,,,,,,,,,,,,0.9337,,,,,,,,,,,,,e1bd36b4-84f3-440b-a497-b229c4f0591c,2565,,"[72.6, 34.2]",69277,67,,,,,2.4815185,,Right Foot,,"[58.3, 45.3]",,Ground Pass,,18.102486,,,,,Miguel Flaño Bezunartea,24313.0,,,,,,,2,Regular Play,Francisco Puñal Martínez,25874.0,Right Center Midfield,154,Osasuna,422,['4fa3ba67-dccb-4472-863c-53d993b248ab'],26,,,,,,,,,,,,,,,,,Osasuna,422,00:22:26.609,Pass,,2009/2010
,,,,,,,,,,,,,,,3.7247,,,,,,,,,,,,,fc7878e5-d513-416b-b5da-0f8fe15729e5,2568,,"[52.5, 49.9]",69277,67,,,,,2.9218323,,Right Foot,,"[23.4, 56.4]",,Ground Pass,,29.81711,,,,,Ricardo López Felipe,25912.0,,,,,,,2,Regular Play,Miguel Flaño Bezunartea,24313.0,Right Center Back,154,Osasuna,422,['92881b8d-db3c-4635-b755-1195838960ec'],29,,,,,,,,,,,,,,,,,Osasuna,422,00:22:29.075,Pass,,2009/2010
,,,,,,,,,,,,,,,1.8315,,,,,,,,,,,,,e88b6198-4160-4546-8c17-c8c12bd38a2c,2570,,"[23.4, 57.1]",69277,67,,True,,,0.49687636,,Left Foot,,"[51.8, 72.5]",,Ground Pass,,32.306656,,,,,César Azpilicueta Tanco,3957.0,,,,,,,2,Regular Play,Ricardo López Felipe,25912.0,Goalkeeper,154,Osasuna,422,['562ee03c-b551-4061-b12b-bac80ef9ff2e'],38,,,,,,,,,,,,,,,,,Osasuna,422,00:22:38.225,Pass,,2009/2010
,,,,,,,,,,,,,,,1.6379,,,,,,,,,,,,,73ad01b4-0e4f-4710-9dd8-175cd59a38c9,2572,,"[57.9, 72.8]",69277,67,,,True,,0.8317226,,Right Foot,,"[65.1, 80.7]",,Ground Pass,,10.688779,,,Injury Clearance,,,,,,,,,,2,Regular Play,César Azpilicueta Tanco,3957.0,Right Back,154,Osasuna,422,,44,,,,,,,,,,,,,,,,,Osasuna,422,00:22:44.411,Pass,,2009/2010
,,,,,,,,,,,,,,,1.0604,,,,,,,,,,,,,fab6b3de-51b6-4112-8b44-a9fbea679585,2576,,"[47.0, 1.0]",69277,69,,,,,0.7039461,,,,"[52.3, 5.5]",,Low Pass,,6.9526973,,,,,Sergio Busquets i Burgos,5203.0,,,,,,Throw-in,2,From Throw In,Eric-Sylvain Bilal Abidal,20177.0,Left Back,155,Barcelona,217,['99beb15d-add4-4cfc-bfc6-5f1b442f08ea'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:24:29.340,Pass,,2009/2010
