bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,053edf4a-6374-4884-b763-5514dddd511c,3951,,"[95.7, 62.7]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Oussama Tannane,4265.0,,Right Wing,175,Las Palmas,208,['4a1c98c7-2bf6-4452-bd18-caaa917138be'],35,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:35.398,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,de2365bc-eecf-4634-9681-9067e6e0e4be,3955,,"[111.6, 60.5]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Míchel Macedo Rocha Machado,6922.0,,Right Back,175,Las Palmas,208,"['11e0c08c-86f5-4391-8867-65b67665e61c', '50434c60-a342-4572-85fd-4ed7137f930f']",38,,,,,,,,,,,,,,,,,,Las Palmas,208,00:44:38.198,Ball Receipt*,True,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08cea0ca-4b2f-4f6d-9a92-3c06fc663739,3963,,"[40.2, 12.1]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Luis Alberto Suárez Díaz,5246.0,,Left Center Forward,176,Barcelona,217,['891a235d-78b8-4ee1-947f-f2e1c82497f8'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:44.811,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad4eebd5-c4bc-44cc-9e06-5d1b96ca964d,3966,,"[43.3, 4.6]",9636,89,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Javier Alejandro Mascherano,5506.0,,Left Center Back,176,Barcelona,217,['1f152167-0f53-402b-88ce-373aa4204251'],47,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:47.324,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ce0b76f-e876-48ef-8fdd-04682df3b94f,3969,,"[49.7, 11.2]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sergio Busquets i Burgos,5203.0,,Left Defensive Midfield,177,Barcelona,217,['5ea9b3fb-e01b-43d8-a238-da08bb7cbf50'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:11.019,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649336d-112d-4aa5-81b8-a5e90e6b1437,3971,,"[26.2, 43.3]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gerard Piqué Bernabéu,5213.0,,Right Center Back,177,Barcelona,217,['d9bd2b19-0f09-4632-a766-559e9b030336'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:14.026,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0ced52e1-bd96-4867-927c-0bb8d45d2a8b,3973,,"[38.1, 69.3]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Sergi Roberto Carnicer,6379.0,,Right Back,177,Barcelona,217,['4ff93c88-6ae1-4db0-8c5b-792a6a3c9326'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:18.340,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08733c77-a877-4dbd-8d8d-af68f3dcb38c,3976,,"[66.9, 76.3]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,,Right Center Forward,177,Barcelona,217,['cb9b6504-9bae-4d27-9218-1b41c57ea304'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:20.829,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be35a5ba-c0c2-46a6-893a-137718572a7b,3979,,"[104.6, 50.8]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Luis Alberto Suárez Díaz,5246.0,,Left Center Forward,177,Barcelona,217,['7f5800d3-4929-4dee-8c2f-cd09ca7213e6'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:25.718,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6c3c45c-aabc-45a8-91f1-163c35f9bc41,3983,,"[18.2, 52.9]",9636,90,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Mauricio Lemos Merladet,7692.0,,Right Center Back,178,Las Palmas,208,['363b19ff-144f-4bc7-b4f6-46d901a1c856'],59,,,,,,,,,,,,,,,,,,Las Palmas,208,00:45:59.552,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f70da053-d66e-4bd5-87d6-f2c501111def,3986,,"[51.5, 60.6]",9636,91,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,José Vicente Gómez Umpiérrez,6929.0,,Right Defensive Midfield,178,Las Palmas,208,['8e531877-9260-4b7f-acbe-54dc4bc67c1b'],6,,,,,,,,,,,,,,,,,,Las Palmas,208,00:46:06.300,Ball Receipt*,,2017/2018
