50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d9dc38b9-5a20-4349-9ef9-42cf6ed1e75a,30,,,"[55.3, 15.9]",69287,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,3,Hércules,1218,"['4ce49137-966e-4e9e-a178-bbf2b3f604ae', '72cc0c54-1779-43d3-abb5-93b00115d9fa']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.123,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,179f009c-eb78-45fa-8849-dbca8b215fa1,250,,,"[35.7, 60.7]",69287,4,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Tiago Filipe Figueiras Gomes,26750.0,Right Wing,13,Barcelona,217,"['261cd192-3dc8-4a10-9268-b45538c7ad65', '513731e1-b66e-46dd-b94e-bccc4e11208b', '731d996a-3e32-4e5f-948c-3d3fd386c9f1']",53,,,,,,,,,,,,,,,,,Hércules,1218,00:04:53.839,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ba684402-5d6e-46f7-9ce7-eeb52f5693f2,384,,,"[24.4, 21.7]",69287,7,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Francisco Peña Romero,25900.0,Left Back,14,Barcelona,217,"['9055668a-5e81-4fb7-977a-eb3f83fd2c4b', 'ba2f1654-609e-4f2f-bd6e-485e30f1d33f']",44,,,,,,,,,,,,,,,,,Hércules,1218,00:07:44.236,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,470983d0-0370-41ab-9e12-d18d95ae610f,546,,,"[8.8, 13.6]",69287,11,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francisco Peña Romero,25900.0,Left Back,23,Barcelona,217,"['74d8c614-c430-46ba-8d41-2cb3af1a7009', '78c9d49a-4648-44de-b26f-a99a43afc6f0', 'b9051dd4-9d10-4b0b-b87f-ce075d133e7a']",3,,,,,,,,,,,,,,,,,Hércules,1218,00:11:03.728,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94bd8c48-e9c5-41cc-a13c-586fbe4f7e1c,758,,,"[2.8, 24.9]",69287,17,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Abel Enrique Aguilar Tapia,6192.0,Right Center Midfield,35,Barcelona,217,"['801d6cf9-0138-49e7-b054-cb23b8b6267b', 'fb1b7929-2055-4fcb-8401-0ddd2f5176d4']",15,,,,,,,,,,,,,,,,,Hércules,1218,00:17:15.903,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,5bde2556-bf24-4dba-8190-355d3003dc5c,926,,,"[72.9, 8.6]",69287,21,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Royston Ricky Drenthe,21568.0,Left Wing,45,Barcelona,217,"['9155f575-e5a2-46c5-8a5c-9e50456b1c6e', 'a2f56b5a-b921-4256-aedd-3b227efe1d21']",53,,,,,,,,,,,,,,,,,Hércules,1218,00:21:53.438,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,05d729d4-4a8e-46aa-8ebb-d2ffffbab6de,983,,,"[41.0, 62.4]",69287,22,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,46,Hércules,1218,"['11006bd4-25a1-4dc6-a217-58aca4472e11', '5556e8c1-befb-49a3-8be8-4d772372b07d', 'a7382001-77f1-414a-8580-a653acafb08f']",59,,,,,,,,,,,,,,,,,Barcelona,217,00:22:59.491,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4526ea44-af64-4a59-b42b-9e82ea98bd78,1059,,,"[14.2, 11.5]",69287,24,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Tiago Filipe Figueiras Gomes,26750.0,Right Wing,48,Barcelona,217,"['531d736e-018d-4f2a-beff-4202597977aa', '847f9968-529e-47e0-a810-d8c94268479d', 'd9c47fa4-09b8-4beb-acb4-2df91ebccadc']",45,,,,,,,,,,,,,,,,,Hércules,1218,00:24:45.294,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3908db28-147e-485f-8a64-4732ed6d5910,1205,,,"[45.1, 15.1]",69287,30,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Matías Lionel Fritzler,26751.0,Left Center Midfield,59,Barcelona,217,['ff2a9d51-6776-4a91-8bb2-9da9255afd06'],20,,,,,,,,,,,,,,,,,Hércules,1218,00:30:20.751,Dribbled Past,,2010/2011
,,,,,,,,,,,True,,,,,0.0,,,,,,,,,,,,,440c13b5-0224-4f5e-acd0-e0da464cd027,1277,,,"[74.9, 18.4]",69287,31,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bojan Krkíc Pérez,4913.0,Left Wing,64,Hércules,1218,"['a4306805-c3c2-4782-b932-b9ef4eb282ff', 'c9262c19-2ce8-493f-8162-7925c7022880']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:31:36.458,Dribbled Past,,2010/2011
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,894b02a0-e9d2-4ac6-938d-bd8c8d14e817,1538,,,"[56.8, 50.3]",69287,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Abel Enrique Aguilar Tapia,6192.0,Right Center Midfield,78,Barcelona,217,"['21bd56e3-db6d-4575-b3d9-079dc18caecd', '60b86216-ef5e-4d6a-bc75-5b15847742a7', 'c73b015b-dd7f-4897-97c8-e5302257c25a']",55,,,,,,,,,,,,,,,,,Hércules,1218,00:37:55.560,Dribbled Past,,2010/2011
