50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ab6855b-e03c-47b6-9a14-75ef6b40673f,1479,,"[41.1, 36.3]",69237,34,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Paulo Assunção da Silva,26502.0,Left Center Midfield,85,Atlético Madrid,212,,8,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:34:08.103,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d883d4b7-3acc-4d39-be63-7d958b525e78,1578,,"[63.6, 51.0]",69237,36,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,José Antonio Reyes Calderón,23816.0,Right Midfield,88,Atlético Madrid,212,['da140894-c479-42ea-8a35-bec41db2daa2'],13,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:36:13.262,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,021332ac-0cdc-4f62-bf8e-cf98242e8ea2,1669,,"[44.8, 40.5]",69237,38,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,93,Barcelona,217,['b343a40a-e2cf-4c54-943c-e32c28cf437c'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:38:29.710,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,719e954a-d553-45d6-a6a7-46210aea6448,1764,,"[107.7, 11.1]",69237,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Antonio López Guerrero,26118.0,Left Back,97,Atlético Madrid,212,,31,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:40:31.547,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,450d05e9-78cc-4582-9f46-f2b0397dd7f0,1779,,"[23.4, 49.8]",69237,40,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Gabriel Alejandro Milito,25919.0,Left Center Back,97,Atlético Madrid,212,,40,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:40.239,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,347800cd-6d19-465e-adfc-8c30647d5e35,1802,,"[73.8, 22.2]",69237,41,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Zlatan Ibrahimović,3672.0,Center Forward,99,Barcelona,217,['613fc46e-e535-44b9-ac24-5c90163215a0'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:06.770,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,10a45c74-8028-47eb-bff4-42740d7870f9,1875,,"[47.4, 52.5]",69237,42,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Tomáš Ujfaluši,19731.0,Right Back,104,Atlético Madrid,212,['3ed2846b-5934-4c83-8dfb-806bb3a7d3a8'],56,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:42:56.089,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97d5d1a1-01fd-4fd2-845c-32d0afcbf412,1945,,"[35.4, 55.8]",69237,44,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Antonio Reyes Calderón,23816.0,Right Midfield,111,Barcelona,217,,11,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:44:11.067,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e45d3878-c5df-4019-8467-fcd805786fc5,1967,,"[50.7, 31.3]",69237,44,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Maxwell Scherrer Cabelino Andrade,26613.0,Left Back,113,Barcelona,217,['8a58cf8d-3e45-4cb2-9b66-21dc233089f2'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:30.161,Ball Recovery,,2009/2010
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94f3e591-225b-4821-a437-f560eef8ccaa,2009,,"[12.5, 37.6]",69237,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Víctor Valdés Arribas,20176.0,Goalkeeper,116,Barcelona,217,['d7d58619-f88f-4fbd-9cc9-a2c4623371f6'],48,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:48.658,Ball Recovery,,2009/2010
