50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,1.5975,,,,,,,,,,,,,0f23b088-6c1f-4264-8d1e-df86ca38f681,1251,,"[49.6, 5.2]",69181,27,,,,,2.0848598,,Left Foot,,,"[40.0, 22.2]",,Ground Pass,19.52332,,,,Andrés Iniesta Luján,5216.0,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,68,Barcelona,217,['578aede8-71c7-4385-be4f-a5058823a0cd'],56,,,,,,,,,,,,,,,,Barcelona,217,00:27:56.491,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.4876,,,,,,,,,,,,,97118693-3911-4944-9654-f8d63afc44f7,1254,,"[37.8, 26.7]",69181,27,,,,,1.2740678,,Right Foot,,,"[46.3, 54.5]",,Ground Pass,29.070433,,,,Xavier Hernández Creus,20131.0,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Right Center Midfield,68,Barcelona,217,['3fc256da-c753-4a77-b27f-8ce5333f52a2'],59,,,,,,,,,,,,,,,,Barcelona,217,00:27:59.042,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.0397,,,,,,,,,,,,,a27bec91-363b-4e69-b332-5a74a90b636d,1257,,"[51.1, 58.1]",69181,28,,,,,-0.036216043,,Right Foot,,,"[64.9, 57.6]",,Ground Pass,13.809055,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Center Defensive Midfield,68,Barcelona,217,['fb5ce42d-00d6-4512-86ff-0055e0f6d0aa'],2,,,,,,,,,,,,,,,,Barcelona,217,00:28:02.860,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.3569,,,,,,,,,,,,,ac8d96ae-3ac1-4c35-a1c9-8d5bd3ad34b9,1263,,"[66.6, 59.1]",69181,28,,True,,,0.5553826,,Right Foot,,,"[89.0, 73.0]",,High Pass,26.362284,,,,Gianluca Zambrotta,15774.0,,,,,Free Kick,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,69,Barcelona,217,['017672b3-a457-4741-b488-08333e4398be'],15,,,,,,,,,,,,,,,,Barcelona,217,00:28:15.447,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.0846,,,,,,,,,,,,,aa0af1a0-ba4f-4095-8ddc-749c2f002212,1274,,"[30.6, 26.5]",69181,28,,,,,-0.21961412,,Right Foot,,,"[53.0, 21.5]",,Ground Pass,22.951252,,Incomplete,,Francisco Javier Yeste Navarro,26035.0,,,,,,1,From Free Kick,Pablo Orbaiz Lesaka,26086.0,Right Defensive Midfield,69,Barcelona,217,"['0f5f3d3e-a101-41e7-a5d2-c30dd29f89cb', 'dadec49f-871d-4502-b80d-e36ed28610f7']",26,,,,,,,,,,,,,,,,Athletic Club,215,00:28:26.729,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.109,,,,,,,,,,,,,6dcfa4c3-be45-4ae1-bf09-9a1f01d2e77d,1281,,"[74.3, 60.2]",69181,28,,,,,-2.3765998,,Right Foot,,,"[66.8, 53.0]",,Ground Pass,10.396634,,,,Andrés Iniesta Luján,5216.0,,,,,Free Kick,1,From Free Kick,Xavier Hernández Creus,20131.0,Center Defensive Midfield,70,Barcelona,217,['28a09329-4231-4783-817d-e3c1c218af77'],49,,,,,,,,,,,,,,,,Barcelona,217,00:28:49.668,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.1301,,,,,,,,,,,,,faba00a7-7649-47a8-911e-44c4ae009f37,1284,,"[67.1, 53.7]",69181,28,,,,,-1.2841995,,Right Foot,,,"[78.8, 14.0]",,High Pass,41.38816,,Incomplete,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,70,Barcelona,217,"['595aef5f-1912-4b02-9139-8e9ab327f3c3', 'cff29123-256a-46a0-b5bb-abe69f492d22']",51,,,,,,,,,,,,,,,,Barcelona,217,00:28:51.037,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.7738,,,,,,,,,,,,,2a260635-d00c-4294-88aa-7f5b815387eb,1292,,"[46.0, 5.2]",69181,29,,,,,1.9100889,,Right Foot,,,"[42.4, 15.4]",,Ground Pass,10.816654,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Left Center Midfield,70,Barcelona,217,['9fd1b734-5389-4a5f-adb6-6d286e400f46'],3,,,,,,,,,,,,,,,,Barcelona,217,00:29:03.932,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.4897,,,,,,,,,,,,,496e8f9f-6e62-47c3-9e24-db7bf15699be,1295,,"[43.2, 15.4]",69181,29,,,,,-0.97303796,,Right Foot,,,"[49.6, 6.0]",,Ground Pass,11.371895,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,70,Barcelona,217,['69b184e7-2c97-49ba-8111-69fc4745f3e6'],4,,,,,,,,,,,,,,,,Barcelona,217,00:29:04.795,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.9093,,,,,,,,,,,,,6370d712-bd32-4696-92fb-a7c1cecd832a,1297,,"[49.6, 5.8]",69181,29,,,,,1.9012803,,Right Foot,,,"[44.9, 19.5]",,Low Pass,14.483784,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Free Kick,Anderson Luís de Souza,19757.0,Left Center Midfield,70,Barcelona,217,['d960e7b0-2ede-4914-982e-9f849849cfdb'],5,,,,,,,,,,,,,,,,Barcelona,217,00:29:05.284,Pass,,2007/2008
