bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.718168,,,,,,,,,,,,,,55189de8-2469-4402-b3dd-71a44c91fc11,122,,"[70.3, 5.0]",3773689,2,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,4,Villarreal,222,"['150355b2-f07f-4044-a788-4eb21afa70ae', '641e6799-3870-4b21-bf20-57a3b1fb227e', 'f96814bb-615f-426f-a601-fba5f6522563']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:15.094,Pressure,,2020/2021
,,,,,,,,,,,,,,,1.14776,,,,,,,,,,,,,,d3637232-3811-41b0-b647-ada891f91d3a,132,,"[15.0, 56.4]",3773689,2,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergino Dest,21881.0,Right Wing Back,4,Villarreal,222,['631d3df8-fc7d-47d1-b180-1c283a2a0006'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:02:26.061,Pressure,,2020/2021
,,,,,,,,,True,,,,,,1.743387,,,,,,,,,,,,,,b3902f56-496c-4c19-87cb-01fcf8f05922,167,,"[26.9, 7.1]",3773689,3,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Pedro González López,30486.0,Left Center Midfield,6,Barcelona,217,['0d02343c-7ae8-4dc7-a9b6-ce17192444f3'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:03:53.283,Pressure,,2020/2021
,,,,,,,,,,,,,,,0.466119,,,,,,,,,,,,,,b8593c85-69ec-4fea-80ba-99ba863ec2b5,171,,"[11.8, 12.6]",3773689,4,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,7,Villarreal,222,"['24926609-182b-4be1-8052-1cd5e870bb35', '51257160-f444-4eed-b1d7-e247211d376f', '522dd2d2-a46c-41c6-88a1-a11e65bfc05e']",15,,,,,,,,,,,,,,,,,,Barcelona,217,00:04:15.076,Pressure,,2020/2021
,,,,,,,,,True,,,,,,0.442156,,,,,,,,,,,,,,0b335e41-e33e-434d-af1a-86e816ee81db,178,,"[99.1, 72.4]",3773689,4,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Marcos Foyth,21081.0,Right Back,8,Barcelona,217,"['70ce254d-8ce8-41aa-bcc2-a8d09a516319', '77450345-bf3d-4e36-aa69-a2ed337cd2e4']",17,,,,,,,,,,,,,,,,,,Villarreal,222,00:04:17.627,Pressure,,2020/2021
,,,,,,,,,,,,,,,1.388152,,,,,,,,,,,,,,33941c1d-5be7-46c8-97a8-3383c41aa589,227,,"[75.0, 10.1]",3773689,5,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Clément Lenglet,6826.0,Left Center Back,8,Barcelona,217,"['5cfb62cd-3a96-425f-a61c-a555472084c7', '5da97c1b-1ea9-46b3-b366-e8cd8b9a2b4f', 'd83f6da6-9e1c-42ba-99e5-246736b9667c']",6,,,,,,,,,,,,,,,,,,Barcelona,217,00:05:06.969,Pressure,,2020/2021
,,,,,,,,,,,,,,,1.940345,,,,,,,,,,,,,,708daca7-8132-4954-9d89-fbb73125e632,264,,"[27.9, 29.2]",3773689,6,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Francisco Alcácer García,6402.0,Left Center Forward,9,Barcelona,217,,10,,,,,,,,,,,,,,,,,,Villarreal,222,00:06:10.705,Pressure,,2020/2021
,,,,,,,,,True,,,,,,1.158723,,,,,,,,,,,,,,7c4cd180-8c37-4ccd-a982-ea300f83885e,267,,"[71.5, 67.9]",3773689,6,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Left Center Forward,10,Villarreal,222,['a14ccfc3-be66-4f6f-8eca-9ff987244a92'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:15.188,Pressure,,2020/2021
,,,,,,,,,True,,,,,,2.553468,,,,,,,,,,,,,,03b28bce-4322-4522-98bf-ebe4b60906c6,269,,"[59.7, 59.3]",3773689,6,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,10,Villarreal,222,"['6cdd28c3-00bc-4bb1-ad38-0c176575e544', 'a27c97fb-67cc-4886-a609-0aa5beb2ab1b', 'aaba5356-da83-4220-a7e0-7521a91f0609']",18,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:18.726,Pressure,,2020/2021
,,,,,,,,,,,,,,,0.486691,,,,,,,,,,,,,,22aaf782-22ae-4b27-8b34-059ecc4df564,282,,"[38.5, 34.8]",3773689,6,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Óscar Mingueza García,43728.0,Right Center Back,10,Villarreal,222,"['197d9ec9-43d9-44fd-9a46-0a517c4efb72', '35b0a424-ee01-4de3-bf95-bcca07bed6c5', '4d21d8f7-0df4-4c7f-84ae-f96d259cea6e']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:31.008,Pressure,,2020/2021
