ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,1.127146,,,,,,,,,,,9dbe9cca-448d-4c3e-940f-14ba2c43ce5c,3244,,"[58.4, 58.0]",3773672,71,,,,3.0334885,,Left Foot,,,"[45.5, 59.4]",Ground Pass,,12.975746,,,,Jules Koundé,4445.0,,,,,,2,From Free Kick,Munir El Haddadi Mohamed,6616.0,Right Wing,132,Sevilla,213,['e5658353-30a8-4b41-b3bf-4ba1c14bf22e'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:26:03.441,Pass,,2020/2021
,,,,,,,,,,,,,1.167657,,,,,,,,,,,c591ac0b-a134-45c8-bceb-d7868628cf33,3247,,"[43.2, 59.6]",3773672,71,,,,-1.9143353,,Right Foot,,,"[34.4, 35.0]",Ground Pass,,26.126616,,,,Fernando Francisco Reges,16003.0,,,,,,2,From Free Kick,Jules Koundé,4445.0,Right Center Back,132,Sevilla,213,['aff44b5c-5341-47ca-9b65-1cf9564603f2'],5,,,,,,,,,,,,,,,,,Sevilla,213,00:26:05.366,Pass,,2020/2021
,,,,,,,,,,,,,0.850646,,,,,,,,,,,01caa599-ce6b-4cc5-a846-239792bec8f1,3250,,"[35.2, 19.7]",3773672,71,,,,-2.739722,,Right Foot,,,"[27.2, 16.3]",Ground Pass,,8.692526,,,,Diego Carlos Santos Silva,3366.0,,,,,,2,From Free Kick,Fernando Francisco Reges,16003.0,Center Defensive Midfield,132,Sevilla,213,['753bfecf-e653-4335-98e3-10b77a082f81'],9,,,,,,,,,,,,,,,,,Sevilla,213,00:26:09.609,Pass,,2020/2021
,,,,,,,,,,,,,1.118346,,,,,,,,,,,417a396e-d354-4ecc-8327-52c2d7bdc8cf,3253,,"[27.2, 16.3]",3773672,71,,,,-0.9389906,,Right Foot,,,"[37.3, 2.5]",Ground Pass,,17.10117,,,,Marcos Javier Acuña,19597.0,,,,,,2,From Free Kick,Diego Carlos Santos Silva,3366.0,Left Center Back,132,Sevilla,213,['98bad358-8782-4056-ab87-8b25bc225050'],10,,,,,,,,,,,,,,,,,Sevilla,213,00:26:10.577,Pass,,2020/2021
,,,,,,,,,,,,,1.030757,,,,,,,,,,,888b82c3-32ba-4a4c-a9fc-b4ec70e38b99,3256,,"[35.2, 2.9]",3773672,71,,,,-0.2153577,,Left Foot,,,"[48.0, 0.1]",Low Pass,,13.102672,,Out,,Luuk de Jong,20033.0,,,,,,2,From Free Kick,Marcos Javier Acuña,19597.0,Left Back,132,Sevilla,213,['81859c84-0beb-4f9f-ac71-90808d4ff592'],13,,,,,,,,,,,,,,,,,Sevilla,213,00:26:13.565,Pass,,2020/2021
,,,,,,,,,,,,,1.701985,,,,,,,,,,,19307c45-be3f-4f97-88d7-7bd2fd1ec586,3258,,"[71.5, 80.0]",3773672,71,,,,-0.24848743,,,,,"[84.9, 76.6]",High Pass,,13.8246155,,,,Sergio Busquets i Burgos,5203.0,,,,,Throw-in,2,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,133,Barcelona,217,['57b9ce52-6a42-4ea4-b447-c17049443486'],30,,,,,,,,,,,,,,,,,Barcelona,217,00:26:30.689,Pass,,2020/2021
,,,,,,,,,,,,,1.365876,,,,,,,,,,,ee8e93b3-1dba-4438-8615-4fb34e26c710,3263,,"[29.5, 0.1]",3773672,71,,,,0.33363456,,,,,"[47.1, 6.2]",High Pass,,18.62713,,,,Luuk de Jong,20033.0,,,,,Throw-in,2,From Throw In,Marcos Javier Acuña,19597.0,Left Back,134,Sevilla,213,['a5646e58-588c-4934-8065-8178458250b2'],51,,,,,,,,,,,,,,,,,Sevilla,213,00:26:51.185,Pass,,2020/2021
,,,,,,,,,,,,,0.948415,,,,,,,,,,,a63b99a8-0fbb-4518-aa1a-4e9a90affa70,3265,,"[47.1, 6.2]",3773672,71,,,,-2.7141283,,Head,,,"[38.1, 2.1]",High Pass,,9.889894,,,,Ivan Rakitić,5470.0,,,,,,2,From Throw In,Luuk de Jong,20033.0,Center Forward,134,Sevilla,213,['7421c89f-666b-4344-b5a2-f7447cf1766a'],52,,,,,,,,,,,,,,,,,Sevilla,213,00:26:52.591,Pass,,2020/2021
,,,,,,,,,,,,,1.874746,,,,,,,,,,,365c2193-44f0-4b74-a7c7-f0aade740ab3,3269,,"[35.2, 4.1]",3773672,71,,,,1.7777885,,Right Foot,,,"[28.9, 34.1]",High Pass,,30.654364,,,,Jules Koundé,4445.0,,,,,,2,From Throw In,Ivan Rakitić,5470.0,Right Center Midfield,134,Sevilla,213,"['2cc93941-a8bd-4fb7-bc29-26848a8c50a8', 'e3688627-e3ee-4c24-82ca-0a2282fad8b5']",54,,,,,,,,,,,,,,,,,Sevilla,213,00:26:54.964,Pass,True,2020/2021
,,,,,,,,,,,,,0.839881,,,,,,,,,,,d6d63689-c9a2-4ca3-a805-2c5350412d9b,3272,,"[41.6, 38.2]",3773672,71,,,,0.7546386,,Right Foot,,,"[55.0, 50.8]",Ground Pass,,18.393476,,,,Munir El Haddadi Mohamed,6616.0,,,,,,2,From Throw In,Jules Koundé,4445.0,Right Center Back,134,Sevilla,213,['2e05e7c9-8eb9-4380-8389-68b49a2c3c2b'],59,,,,,,,,,,,,,,,,,Sevilla,213,00:26:59.844,Pass,,2020/2021
