ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,9bcc2ea0-561e-43f9-97a3-7383bc86e9a1,83,,,"[56.1, 53.3]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,3,Barcelona,217,['5e1caa79-925b-4b28-b407-3669caeaaa59'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:10.284,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,ad6e2b18-b782-4631-ad14-d3e7e5227595,86,,,"[55.4, 52.9]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrés Iniesta Luján,5216.0,Center Defensive Midfield,3,Barcelona,217,['ddf19719-c83b-4650-a9ed-799ddfc60975'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:15.152,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,0cfbb83a-ac3d-4c65-8ef3-2380cda90423,90,,,"[48.2, 28.7]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Gabriel Alejandro Milito,25919.0,Left Center Back,3,Barcelona,217,['9da39f5a-79a8-470b-8673-6b163dca208d'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:18.651,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,a0e03a8c-6f4c-4936-bf3e-5067ac41d8ba,93,,,"[92.1, 77.1]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovani dos Santos Ramírez,5987.0,Right Wing,3,Barcelona,217,['fd9dd541-f9cd-498a-8294-555c853ec396'],22,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:22.690,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,20e80a78-7803-4c8a-b624-d54759c8cc06,96,,,"[93.8, 55.2]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Eiður Smári Guðjohnsen,11270.0,Left Center Midfield,3,Barcelona,217,['6ffe5296-2fe7-4d22-a80a-6ecb5e5eda60'],25,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:25.089,Ball Receipt*,,2007/2008
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,8e018172-a519-4525-8ea3-5ea1e0766fe0,100,,,"[103.4, 70.3]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Giovani dos Santos Ramírez,5987.0,Right Wing,3,Barcelona,217,['771b1c73-a614-47bd-9f06-b721d9d78406'],26,,,,,,,,,,,,,,,,,,Barcelona,217,00:01:26.926,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,ee9e370c-ed6f-496d-ac4b-6594f01a9f26,103,,,"[30.2, 17.9]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Óscar Serrano Rodriguez,26137.0,Left Midfield,4,Racing Santander,1217,"['9cadfeaf-3030-4000-af68-9ab6f4a1d4f1', 'e656bd7f-8a69-436e-91ab-667849419686']",27,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:27.888,Ball Receipt*,True,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,afa567dc-b5d9-4d22-ad7d-4afd97748e73,107,,,"[19.4, 11.6]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Luis Fernández Gutiérrez,26069.0,Left Back,4,Racing Santander,1217,"['29589894-9841-4211-bc4c-18e5da4bee13', 'e33f25e5-8df1-42cd-bc14-0d2f035159ab']",29,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:29.547,Ball Receipt*,True,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,c05cb948-dfed-4a18-8ed6-de5ebad89c0d,110,,,"[28.9, 21.7]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jordi López Felpeto,25958.0,Left Defensive Midfield,4,Racing Santander,1217,['12bec817-bca6-49fa-9ea6-f5fadee0ae77'],31,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:31.062,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,333a2486-1128-442c-90cc-9b009cdaa779,114,,,"[47.5, 27.3]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aldo Pedro Duscher,26489.0,Right Defensive Midfield,4,Racing Santander,1217,['93b56d4e-ea2c-4c3d-bce6-e61d4b955f72'],33,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:33.146,Ball Receipt*,,2007/2008
,,,,,,,,,,,,,,,,,,,,,,,,f261f12c-f25a-43ed-a5a9-1efb492e2b89,118,,,"[76.2, 64.6]",69173,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio Sánchez Ortega,6904.0,Right Back,4,Racing Santander,1217,"['4712b0d2-c616-4efc-b6fa-07d659280e7a', '93740378-6b31-4f4f-ba66-4c9d21affd64']",39,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:01:39.038,Ball Receipt*,True,2007/2008
