bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,2.621,,,,,,,,,,333be193-5b91-4bf8-a8aa-3485c85052da,1836,,,"[72.2, 4.8]",69179,46,,,,0.124354996,,Left Foot,,,"[97.0, 7.9]",,High Pass,,24.992998,,,,Alberto Zapater Arjol,24520.0,,,,,,1,From Free Kick,Juan Francisco García García,26023.0,Left Back,109,Real Zaragoza,395,"['4e891518-06cf-49fa-b71a-b4a9f054933d', 'cb9070e8-8795-415d-9308-d7fe64c80395']",12,,,,,,,,,,,,,,,Real Zaragoza,395,00:46:12.382,Pass,True,2006/2007
,,,,,,,,,,,,,,,1.7146,,,,,,,,,,e5753bb0-9b70-4e94-886a-8356a2488f94,1849,,,"[17.7, 71.4]",69179,46,,,,0.09065989,,Right Foot,,,"[40.8, 73.5]",,Ground Pass,,23.195257,,Unknown,,,,,,,,Free Kick,1,From Free Kick,Andrés Iniesta Luján,5216.0,Left Wing Back,111,Barcelona,217,,21,,,,,,,,,,,,,,,Barcelona,217,00:46:21.815,Pass,,2006/2007
,,,,,,,,,,,,,,,1.0343,,,,,,,,,,54fdf420-1128-4e7d-ac83-cb452137b2f2,1856,,,"[60.0, 40.0]",69179,45,,,,1.6879051,,Right Foot,,,"[59.6, 43.4]",,Ground Pass,,3.4234486,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,2,From Kick Off,Ronaldo de Assis Moreira,25879.0,Center Forward,112,Barcelona,217,['9ef1fa41-89ff-4409-82ae-1710933cf895'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.504,Pass,,2006/2007
,,,,,,,,,,,,,,,1.243984,,,,,,,,,,61591017-d040-4939-9866-3590223b8d82,1859,,,"[60.8, 44.1]",69179,45,,,,1.4364749,,Left Foot,,,"[62.3, 55.2]",,Ground Pass,,11.200892,,Incomplete,,Ludovic Giuly,25878.0,,,,,,2,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,112,Barcelona,217,"['8fc323db-124c-4c9f-8a6f-2c28301b97f2', '985da611-556b-4fb9-b8fc-9edbc1bfecf4']",1,,,,,,,,,,,,,,,Barcelona,217,00:00:01.558,Pass,,2006/2007
,,,,,,,,,,,,,,,1.3145,,,,,,,,,,1c45114c-e395-43ed-8a39-ef9f6013f3ef,1863,,,"[63.1, 27.5]",69179,45,,,,-0.62182426,,Right Foot,,,"[75.1, 18.9]",,Ground Pass,,14.763469,,,,Diego Alberto Milito,19294.0,,,,,,2,Regular Play,Andrés Nicolás D''Alessandro,25410.0,Left Wing,113,Real Zaragoza,395,['d5389783-cc77-4e68-bffa-491038b071da'],4,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:04.568,Pass,,2006/2007
,,,,,,,,,,,,,,,0.8408,,,,,,,,,,5fe39d94-5c4b-4fef-a865-54f7d6b59a43,1867,,,"[85.0, 4.1]",69179,45,,,,0.85909,,Right Foot,,,"[91.9, 12.1]",,Ground Pass,,10.564564,,,,Andrés Nicolás D''Alessandro,25410.0,,,,,,2,Regular Play,Diego Alberto Milito,19294.0,Center Forward,113,Real Zaragoza,395,['274d1f35-4050-43e9-820d-fdf84c29563e'],9,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:09.617,Pass,,2006/2007
,,,,,,,,,,,,,,,1.6721,,,,,,,,,,a5a6bb1e-dfda-487d-ab40-36cb0426a85a,1871,,,"[86.8, 8.4]",69179,45,,,,2.6039178,,Right Foot,,,"[70.7, 18.0]",,Ground Pass,,18.744865,,,,Alberto Zapater Arjol,24520.0,,,,,,2,Regular Play,Andrés Nicolás D''Alessandro,25410.0,Left Wing,113,Real Zaragoza,395,['6d5c43aa-dc6f-4089-9dfe-944aae4d1f4c'],11,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:11.432,Pass,,2006/2007
,,,,,,,,,,,,,,,0.5993,,,,,,,,,,50b76420-02f8-48b5-91d8-6f0f5cacebce,1875,,,"[69.4, 21.0]",69179,45,,,,2.172251,,Right Foot,,,"[58.9, 36.3]",,Ground Pass,,18.5564,,,,Albert Celades López,25909.0,,,,,,2,Regular Play,Alberto Zapater Arjol,24520.0,Center Defensive Midfield,113,Real Zaragoza,395,"['08928bdf-e592-4053-9be9-5899959127c9', 'dd51451d-54bd-49d0-a87a-9fc80a594326']",15,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:15.076,Pass,True,2006/2007
,,,,,,,,,,,,,,,2.0254,,,,,,,,,,c80a91c3-80d5-4883-af45-60738d28ff94,1877,,,"[58.9, 36.3]",69179,45,,,,2.0410519,,No Touch,,,"[49.7, 54.4]",,Ground Pass,,20.30394,True,,,Gerard Piqué Bernabéu,5213.0,,,,,,2,Regular Play,Albert Celades López,25909.0,Right Center Midfield,113,Real Zaragoza,395,['229e6f72-1729-42c6-9809-769a4da719be'],15,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:15.675,Pass,,2006/2007
,,,,,,,,,,,,,,,1.7029,,,,,,,,,,121cd20e-c97d-4460-8738-adf5b9e7b494,1880,,,"[49.7, 54.4]",69179,45,,,,-1.5308176,,Right Foot,,,"[50.7, 29.4]",,Ground Pass,,25.019993,,,,Gabriel Alejandro Milito,25919.0,,,,,,2,Regular Play,Gerard Piqué Bernabéu,5213.0,Right Center Back,113,Real Zaragoza,395,['2b68a8d5-324d-4922-88eb-8f75eefad818'],18,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:18.880,Pass,,2006/2007
