ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,e9bffbce-8fe0-4edc-9732-30a59a372980,2108,,"[116.3, 73.6]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Manuel Flores Moreno,26653.0,Right Back,118,Mallorca,1043,"['7cf3534d-2315-4fe5-8f05-329e3f141727', 'db8b00f6-014f-44af-b907-d3423f18980e']",37,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:37.299,Ball Receipt*,True,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,09c09513-8fcd-4a08-9c8f-be4eb278ccef,2111,,"[98.1, 69.3]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Michaël Pereira,26671.0,Right Midfield,118,Mallorca,1043,['24f18e91-3c04-4f1f-962a-94fcdcb56239'],42,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:42.333,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,19297d6b-16c4-44d3-a02e-f0537aed2329,2116,,"[83.2, 46.5]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fernando Damián Tissone,19431.0,Left Defensive Midfield,118,Mallorca,1043,"['79999a53-92b0-44c7-8be3-ca42d8269065', 'a5e4f41b-1301-48f0-8633-a19ab5fc4696']",47,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:47.081,Ball Receipt*,True,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,47caed95-f426-4a26-9c8b-e8bf469ae2b1,2119,,"[77.5, 33.2]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Pablo Domingo Cáceres Rodríguez,26789.0,Left Back,118,Mallorca,1043,['5aa46321-5299-4c07-8709-c24c53782968'],48,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:48.523,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,315d7681-3c3b-4083-b926-594b7958047f,2122,,"[91.2, 16.1]",69325,50,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Álvaro Giménez Candela,24053.0,Right Center Forward,118,Mallorca,1043,['5354a357-a714-4ef9-9f41-b3917ee4fb7a'],50,,,,,,,,,,,,,,,,,Mallorca,1043,00:05:50.326,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,5ee22a64-5790-499c-b6aa-557456df95cb,2131,,"[40.0, 74.5]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,119,Barcelona,217,['e8a2135f-bcdb-4945-8762-b660eb5517fc'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:06:16.611,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,563e0d93-80cf-4a81-a7de-dcb63135ba10,2134,,"[36.0, 54.9]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,119,Barcelona,217,['3e7878ee-f8bc-4b9b-803c-d0bd962e5f54'],18,,,,,,,,,,,,,,,,,Barcelona,217,00:06:18.613,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,329173d1-d018-4a67-ad94-7402e48c7cb6,2137,,"[47.8, 59.6]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,119,Barcelona,217,['45583e0e-72bc-447c-8129-18c3174dcd1b'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:06:19.589,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,dfed9ab8-78cc-4d8f-96b2-60367ad63447,2140,,"[90.3, 13.7]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing Back,119,Barcelona,217,['dff3a4e2-6dad-4ef6-a49a-1ac675320eca'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:06:26.992,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,40e1c886-7281-469c-afea-965a134a4916,2143,,"[85.0, 23.5]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesc Fàbregas i Soler,3478.0,Center Attacking Midfield,119,Barcelona,217,['b7606e0d-dc7c-4dd4-9346-f088115bab97'],29,,,,,,,,,,,,,,,,,Barcelona,217,00:06:29.792,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,128093f1-a5f3-44b0-95dc-8a35575c4266,2146,,"[88.2, 33.9]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Wing Back,119,Barcelona,217,['936a6e03-428a-4313-aeee-9ca6060d7699'],32,,,,,,,,,,,,,,,,,Barcelona,217,00:06:32.045,Ball Receipt*,,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,121eb84d-1a25-4127-bb17-6978a5d72bc8,2149,,"[103.3, 18.4]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Pedro Eliezer Rodríguez Ledesma,3958.0,Right Wing Back,119,Barcelona,217,['799c8090-2c3b-4571-bbef-6fd384e67385'],35,,,,,,,,,,,,,,,,,Barcelona,217,00:06:35.186,Ball Receipt*,,2011/2012
Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,b7818307-2346-411a-9026-3093f98ea17f,2153,,"[38.1, 44.4]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Álvaro Giménez Candela,24053.0,Right Center Forward,119,Barcelona,217,['f374c7c3-1e56-44cb-9476-c0150d98fa6b'],37,,,,,,,,,,,,,,,,,Mallorca,1043,00:06:37.890,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,dbd90381-92c6-476b-bad9-a3a400c5dc8b,2157,,"[71.5, 59.6]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Javier Alejandro Mascherano,5506.0,Right Center Back,119,Barcelona,217,['8b27882b-7dbe-4755-8c23-ac0d5cee6932'],40,,,,,,,,,,,,,,,,,Barcelona,217,00:06:40.226,Ball Receipt*,,2011/2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,7ae12216-4304-4bcf-a4a1-96d8cc558a92,2160,,"[76.6, 27.8]",69325,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Wing Back,119,Barcelona,217,['3e86aeb3-4b93-40ec-9f48-014101eb58f6'],42,,,,,,,,,,,,,,,,,Barcelona,217,00:06:42.463,Ball Receipt*,,2011/2012
