50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e828fbf1-4fe7-4932-a2b7-803de0a79243,1239,Success In Play,"[64.6, 25.5]",68348,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Didier Domi,24797.0,Left Back,85,Barcelona,217,['3a59173f-6e60-4065-8071-2785250e11ec'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:39:00.550,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,87d3b5a0-acce-4cad-bea7-0313a9a323e3,1318,Lost Out,"[45.0, 69.3]",68348,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Juliano Haus Belletti,25863.0,Right Back,89,Espanyol,214,['f50a457b-805d-4802-9091-831da11b8d4c'],55,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:55.164,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6141984c-65a7-4091-a242-0bdbfe2cdaeb,1344,Success In Play,"[31.8, 17.6]",68348,41,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Didier Domi,24797.0,Left Back,93,Barcelona,217,['64350e16-8303-495e-aef8-10e4ecf49162'],37,,,,,,,,,,,,,,,,,,Espanyol,214,00:41:37.541,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,396e7d16-e98a-4d8c-bbaa-af56ffd0f529,1394,Success In Play,"[40.4, 12.9]",68348,44,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,95,Espanyol,214,['7621b13f-531b-4aec-8ebb-92c86d2ac2e1'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:44:44.450,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3ecb048d-fc65-4115-88e8-c9655fb0f853,1455,Won,"[45.3, 67.2]",68348,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Juliano Haus Belletti,25863.0,Right Back,102,Espanyol,214,['a8f6b0bd-f539-4ce1-aa78-08a0eac1eda0'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.115,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ce4f6c6-715f-400f-955f-7f148db9e513,1599,Lost In Play,"[66.7, 44.7]",68348,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Pablo Javier Zabaleta Girod,3052.0,Right Wing,114,Barcelona,217,['b5cf3859-cab7-4875-bee5-d2802240837c'],19,,,,,,,,,,,,,,,,,,Espanyol,214,00:04:19.236,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,915e1aae-3fbd-4583-9145-b6bcdd026782,1677,Lost In Play,"[73.6, 39.0]",68348,51,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Fredson Câmara Pereira,26104.0,Left Defensive Midfield,118,Barcelona,217,['a853584e-6b57-492b-8b3a-beb738bfc71c'],10,,,,,,,,,,,,,,,,,,Espanyol,214,00:06:10.554,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e6567e79-4d3c-4815-af47-b6c26c38fda7,1912,Success In Play,"[42.1, 21.4]",68348,63,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Didier Domi,24797.0,Left Back,136,Barcelona,217,['72201d78-6c18-4163-ace9-c9ef95b878a0'],32,,,,,,,,,,,,,,,,,,Espanyol,214,00:18:32.999,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a0364466-4aed-4997-99ed-3a4d194b4b6d,2013,Lost Out,"[20.9, 70.3]",68348,67,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Oleguer Presas Renom,25873.0,Left Center Back,142,Espanyol,214,['712a3a18-d52c-4d9b-927e-c93b90c0aad4'],28,,,,,,,,,,,,,,,,,,Barcelona,217,00:22:28.025,Interception,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,5e4c36e6-f470-4f84-b37c-3b337ac08704,2094,Won,"[46.1, 41.8]",68348,68,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Thiago Motta,4325.0,Right Center Midfield,146,Barcelona,217,['f0e1884d-afbc-421c-947f-3a9e96485a39'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:53.561,Interception,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,2d563ae1-2d2b-404a-9097-dcceb350397e,2324,Won,"[26.7, 70.8]",68348,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Eduardo Nascimento Costa,26108.0,Right Defensive Midfield,162,Espanyol,214,['fbe44a36-6947-44bd-9171-014fcb195eb7'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:31:00.843,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35aa5c08-09b6-4ab7-aa77-f15f1573ee37,2353,Success In Play,"[48.2, 46.0]",68348,76,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Alberto Lopo García,26107.0,Right Center Back,164,Barcelona,217,['2f0628e5-be0e-4dcf-a201-d2e3f27a3118'],35,,,,,,,,,,,,,,,,,,Espanyol,214,00:31:35.538,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,72285099-377e-4868-8928-695540dbd700,2374,Lost In Play,"[46.5, 26.8]",68348,77,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ronaldo de Assis Moreira,25879.0,Left Wing,165,Espanyol,214,,0,,,,,,,,,,,,,,,,,,Barcelona,217,00:32:00.035,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d16d8b98-435e-42f3-8603-c4b94cedad66,2411,Lost In Play,"[29.5, 47.0]",68348,79,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,170,Espanyol,214,['5f6bd84b-e96c-46a9-b94e-45d1480fe372'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:34:10.103,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1a11a65c-210d-4037-b271-fab17e70d84d,2434,Lost In Play,"[35.8, 35.3]",68348,79,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Fredson Câmara Pereira,26104.0,Left Defensive Midfield,173,Barcelona,217,['d68a267a-dfcb-41f7-a458-9e45031dc902'],57,,,,,,,,,,,,,,,,,,Espanyol,214,00:34:57.828,Interception,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,3c3b6d3c-14d2-4b00-975f-7c1a824cdf0e,2635,Success In Play,"[74.5, 61.5]",68348,88,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,191,Barcelona,217,['1c409af1-0462-4703-b923-137620260c69'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:43:08.123,Interception,,2005/2006
,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,,,,2197e9a2-ee8d-4ff4-9efb-a3ed81c0068a,2676,Won,"[76.0, 69.5]",68348,90,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Juliano Haus Belletti,25863.0,Right Back,197,Barcelona,217,['c7c6dbd4-cd2b-4ec4-ab1d-ca4286bea6b0'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:45:31.924,Interception,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e81cd667-f9dd-4a17-82bc-048a804497d5,153,,"[70.0, 25.8]",68348,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Raúl Tamudo Montero,26109.0,Center Forward,7,Espanyol,214,,57,,,,,,,,,,,,,,,,,,Espanyol,214,00:02:57.633,Miscontrol,,2005/2006
