50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76134a54-f0f7-45f4-8552-b5748b7649ba,1209,,"[65.7, 51.5]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,94,Barcelona,217,['734c65db-0353-44c3-9b39-218fe1bf9cdd'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:31:41.130,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e159164d-e14a-43d5-b3e0-4056d24d2b8f,1211,,"[63.5, 51.3]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,94,Barcelona,217,['03a7f1aa-b3c9-4f5f-ba9b-2ad7d56212f6'],41,,,,,,,,,,,,,,,,,Barcelona,217,00:31:41.253,Ball Receipt*,,2005/2006
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c690d996-acd2-4af5-a62f-9a658e696803,1218,,"[92.9, 40.5]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Andrés Iniesta Luján,5216.0,Right Center Midfield,94,Barcelona,217,['cd187468-b080-4079-8148-e6d9391b924f'],44,,,,,,,,,,,,,,,,,Barcelona,217,00:31:44.940,Ball Receipt*,,2005/2006
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afa8b31f-38a7-484f-a7a3-b4ac266e174c,1223,,"[51.8, 55.3]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Antonio Núñez Tena,25982.0,Right Wing,94,Barcelona,217,['fda6d025-dcb2-441a-a535-ad9537b1e6e2'],49,,,,,,,,,,,,,,,,,Celta Vigo,209,00:31:49.060,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e15e4e37-098b-44d3-b386-20b2e742e46a,1228,,"[86.2, 20.2]",68323,31,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Samuel Eto''o Fils,19298.0,Center Forward,94,Barcelona,217,['16608843-fb51-4d67-9ac0-daafa09c4b27'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:31:52.337,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40d4aa3e-6486-4fdd-9b19-ae8a60e82a72,1235,,"[73.3, 28.1]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,95,Barcelona,217,['2b572d1f-158f-4fb3-8c82-8353eba63570'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:32:11.261,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20667b12-3cb6-4ec3-95b3-c6267b65cc73,1237,,"[89.2, 73.7]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Oleguer Presas Renom,25873.0,Right Back,95,Barcelona,217,['701d1842-cfcd-42ea-b7ec-77d6b98b891d'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:32:16.383,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cca59a6c-3f47-41ed-9e4d-7ca1c4d042ea,1241,,"[85.5, 55.7]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,95,Barcelona,217,"['b4cc84ab-e0d8-4d28-af27-9f32cf8e0642', 'eabdceb2-e407-4c72-9e40-9dd81b8e7587']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:32:19.607,Ball Receipt*,True,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cb85f297-b649-4823-87ae-f8b7a30b44b5,1243,,"[88.6, 58.5]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,95,Barcelona,217,['61ab3283-c75d-4111-8342-f40f1bcfe875'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:32:20.233,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be50f8cc-b067-4474-88ac-175771cc6d72,1251,,"[79.3, 40.3]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrés Iniesta Luján,5216.0,Right Center Midfield,95,Barcelona,217,['43e66a50-246e-45ab-bdb7-b32cf17dead3'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:32:24.247,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3605d543-5988-4f8d-a8f9-09c368376ebc,1263,,"[45.1, 46.0]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Néstor Fabián Canobbio Bentaberry,25980.0,Center Attacking Midfield,96,Celta Vigo,209,['054fef86-02bc-46f8-9219-7ad985ab7878'],32,,,,,,,,,,,,,,,,,Celta Vigo,209,00:32:32.572,Ball Receipt*,,2005/2006
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c1e00908-856d-4429-9c5e-6d05d6c9b907,1266,,"[38.4, 55.2]",68323,32,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antonio Núñez Tena,25982.0,Right Wing,96,Celta Vigo,209,['26abd995-947b-4e3c-b9e4-fdf44b5efe6e'],35,,,,,,,,,,,,,,,,,Celta Vigo,209,00:32:35.059,Ball Receipt*,,2005/2006
