bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.786,,,,,,,,,,,,4cee4c0b-9959-4c5d-a51b-257118bff1e7,94,,"[73.0, 60.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergio León Limones,6657.0,Right Center Forward,3,Barcelona,217,"['3421d0ec-7cd1-4b49-abb5-ea0be78e4e83', 'f80a7264-2ac4-4199-83e7-5e468938b8a1']",16,,,,,,,,,,,,,,,,,Real Betis,218,00:01:16.682,Pressure,,2017/2018
,,,,,,,,,,,,,,,2.916,,,,,,,,,,,,3b155ffa-d754-4a6e-b658-5b7c7f0d31c4,98,,"[47.0, 73.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Francisco Javier García Fernández,6836.0,Right Center Back,3,Barcelona,217,['50f04b92-7c3b-4977-948b-d0fb600b68ea'],18,,,,,,,,,,,,,,,,,Real Betis,218,00:01:18.852,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.026,,,,,,,,,,,,056b544c-a3dc-441f-b301-bbb7e1db5df3,105,,"[79.0, 64.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Wing,4,Real Betis,218,"['1bfe21f5-dabd-47ef-99b9-eba222ed32fe', '4c92f953-ee4f-411d-8f20-4f27efe0f89b']",29,,,,,,,,,,,,,,,,,Barcelona,217,00:01:29.752,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.509,,,,,,,,,,,,8a723232-eeb1-4d81-a3aa-daca9c65ee54,109,,"[107.0, 50.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,4,Real Betis,218,"['4a294908-7250-49f7-9f9a-d04eab80e85e', 'a3edc690-88cc-44c9-81a0-73a9c857004a']",32,,,,,,,,,,,,,,,,,Barcelona,217,00:01:32.661,Pressure,,2017/2018
,,,,,,,,,,,,,,,0.884,,,,,,,,,,,,ff758868-520d-4e2c-90ba-243e9dedcc28,112,,"[81.0, 7.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jordi Alba Ramos,5211.0,Left Back,4,Real Betis,218,"['145ab0c1-340f-42ed-9f24-96b4c703705b', 'a3c9fee8-c805-4bc6-ba81-2305a4a1adc2']",36,,,,,,,,,,,,,,,,,Barcelona,217,00:01:36.528,Pressure,,2017/2018
,,,,,,,,,,,,,,,3.439,,,,,,,,,,,,6092d543-b41b-4c74-aba1-6b7040689fb8,116,,"[80.0, 15.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergio Busquets i Burgos,5203.0,Left Center Midfield,4,Real Betis,218,"['08e07e9c-f6e7-4883-bdb9-d40d9396dfda', '34497d74-6964-439b-abf5-2fb1d02eaf96', 'e7fb3f1d-dd1e-4ea9-8df3-07f5bd9c91a7']",39,,,,,,,,,,,,,,,,,Barcelona,217,00:01:39.699,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.407,,,,,,,,,,,,f49a484a-b727-4cdd-b73d-8535b07fa1f9,121,,"[103.0, 12.0]",9765,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,André Filipe Tavares Gomes,10802.0,Left Wing,4,Real Betis,218,,45,,,,,,,,,,,,,,,,,Barcelona,217,00:01:45.325,Pressure,,2017/2018
,,,,,,,,,,,,,,,1.105,,,,,,,,,,,,410e0da7-515e-4ba7-8840-feeec1a3b888,132,,"[73.0, 17.0]",9765,2,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ivan Rakitić,5470.0,Right Center Midfield,5,Real Betis,218,"['108cb286-9ad5-4cee-b1f6-b1bd761da15e', '8c3377c3-20bd-4884-a440-6eb9ba864027']",25,,,,,,,,,,,,,,,,,Barcelona,217,00:02:25.649,Pressure,,2017/2018
,,,,,,,,,True,,,,,,0.531,,,,,,,,,,,,b4e76f12-5da3-4bd0-8d61-fdb58c03a60b,142,,"[91.0, 38.0]",9765,2,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Fabián Ruiz Peña,6655.0,Right Defensive Midfield,5,Real Betis,218,"['10efbb63-6949-4355-b379-d23f6e12171e', 'd0b42e2b-daac-43b6-a9fe-066c32fedb1e']",36,,,,,,,,,,,,,,,,,Real Betis,218,00:02:36.375,Pressure,,2017/2018
,,,,,,,,,,,,,,,3.949,,,,,,,,,,,,f4c06c8d-7610-4e64-8ac1-443ee4dffd7e,154,,"[37.0, 52.0]",9765,3,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Francisco Javier García Fernández,6836.0,Right Center Back,6,Barcelona,217,['ba1cd0e6-89e5-4257-89f6-9e33039b807e'],12,,,,,,,,,,,,,,,,,Real Betis,218,00:03:12.957,Pressure,,2017/2018
