bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fb11c257-1594-490b-bf14-1b2ead75ef0a,1657,,"[42.7, 71.9]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,107,Barcelona,217,['2cb6b0bd-dcee-48f5-8c90-e075a244b949'],11,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:11.781,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33fcdbf5-b937-4452-90e6-816c971b1049,1659,,"[62.2, 67.5]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,107,Barcelona,217,['918b1a64-943d-4655-a279-797ef5d8eb59'],13,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:13.562,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c2e709d5-e4ca-4aca-a642-77f9741e0590,1663,,"[76.8, 65.4]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,José Paulo Bezzera Maciel Júnior,5542.0,Left Defensive Midfield,107,Barcelona,217,['f781fa23-dacd-4951-9327-ed8899af8a64'],16,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:16.887,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11e0c2ce-7aed-4d11-9e55-b1502c38183b,1665,,"[86.0, 73.5]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Sergi Roberto Carnicer,6379.0,Right Back,107,Barcelona,217,['75a61060-eb77-4b97-bbba-e8605d033734'],18,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:18.381,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239d11b1-51c0-4228-b4c2-17627aff1d54,1668,,"[97.2, 40.4]",9661,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,107,Barcelona,217,['80b82de2-c668-4c3c-864b-1ebad7725c06'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:40:21.038,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a959434d-41dc-49ae-97b7-646d40171204,1677,,"[19.7, 3.2]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Íñigo Lekue Martínez,6392.0,Left Back,108,Barcelona,217,['3d66252b-2afc-48b7-b8cf-a262a144bef9'],34,,,,,,,,,,,,,,,,,,Athletic Club,215,00:41:34.902,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8be8328f-248a-4ebc-99c6-d4d060278ba0,1679,,"[92.4, 74.4]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Gerard Piqué Bernabéu,5213.0,Right Center Back,108,Barcelona,217,['9f0117f7-1db3-46b5-8a5c-c5e64399c028'],35,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:35.810,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2f474880-274e-4744-9dd5-0666f0266eb8,1682,,"[89.3, 76.2]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Sergi Roberto Carnicer,6379.0,Right Back,108,Barcelona,217,['739107be-b905-4a24-8953-44b494c39146'],36,,,,,,,,,,,,,,,,,,Barcelona,217,00:41:36.486,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3a20839-4798-48c1-82c3-c71234ccacc9,1702,,"[78.3, 68.4]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Iñigo Córdoba Kerejeta,6387.0,Left Wing,109,Athletic Club,215,"['b9569e7b-5929-45a0-9bd0-8ee06e714a39', 'bf088057-ce1c-4d4b-a333-ce5c04739c0f']",47,,,,,,,,,,,,,,,,,,Athletic Club,215,00:41:47.790,Ball Receipt*,True,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3b64fd55-e2e3-402e-a41a-98e044dcaeec,1704,,"[89.7, 51.8]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Iñaki Williams Arthuer,6393.0,Right Wing,109,Athletic Club,215,['dd347d68-4a8b-4660-ba5c-616921aea207'],49,,,,,,,,,,,,,,,,,,Athletic Club,215,00:41:49.557,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7806ba46-ad1a-418c-a837-d5d4ef3cf759,1707,,"[82.0, 53.7]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aritz Aduriz Zubeldia,6394.0,Center Forward,109,Athletic Club,215,['8f370e69-ba5c-4ed5-9f96-f071995acd0b'],50,,,,,,,,,,,,,,,,,,Athletic Club,215,00:41:50.931,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e98f2415-940f-4f0e-884a-f7a70a2d305c,1711,,"[108.0, 58.2]",9661,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Iñaki Williams Arthuer,6393.0,Right Wing,109,Athletic Club,215,['eb944595-392a-4099-95cb-a7eacb1c0079'],54,,,,,,,,,,,,,,,,,,Athletic Club,215,00:41:54.958,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983b2168-e7cd-45da-8a61-42ad3f49780d,1714,,"[104.7, 46.1]",9661,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Raúl García Escudero,6391.0,Center Attacking Midfield,110,Athletic Club,215,['6082349c-28ec-458a-9e46-b34fe96d725b'],10,,,,,,,,,,,,,,,,,,Athletic Club,215,00:42:10.725,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e6a63d6-98ba-49b0-a92d-f40fb4f6f59e,1723,,"[32.7, 45.0]",9661,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,110,Athletic Club,215,['d8a066d6-e019-4e1e-9158-af8ab4414d56'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:42:14.970,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e7c85984-f423-4f66-94b3-8e2badbda64e,1729,,"[104.1, 13.5]",9661,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Iñigo Córdoba Kerejeta,6387.0,Left Wing,110,Athletic Club,215,['510609ac-9376-4501-b550-e4b5d933d893'],18,,,,,,,,,,,,,,,,,,Athletic Club,215,00:42:18.665,Ball Receipt*,,2017/2018
,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42e42c99-7ce8-4179-adc6-dceb9d98ee16,1732,,"[110.1, 41.4]",9661,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aritz Aduriz Zubeldia,6394.0,Center Forward,110,Athletic Club,215,['6b387e9b-0e46-4574-a6bf-d11c5f52458e'],21,,,,,,,,,,,,,,,,,,Athletic Club,215,00:42:21.356,Ball Receipt*,,2017/2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c433fbda-33b9-4ae3-932e-bbc8ff753781,1736,,"[90.3, 10.3]",9661,42,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ander Iturraspe Derteano,6388.0,Right Defensive Midfield,111,Athletic Club,215,['1269bfca-bf7d-4fd7-83dd-59bebf45a6ee'],33,,,,,,,,,,,,,,,,,,Athletic Club,215,00:42:33.497,Ball Receipt*,,2017/2018
