ID_Partido,ID_StatsBomb,ID_Entrenador,Fecha,Temporada,Competicion,Rival,Localia,Resultado,Goles_Barca,Goles_Rival,Penaltis_Barca,Penaltis_Rival
262,69225.0,2,2008-12-13,2008-2009,La Liga,Real Madrid,Home,W,2,0,,
263,69228.0,2,2008-12-21,2008-2009,La Liga,Villarreal,Away,W,2,1,,
264,,2,2009-01-03,2008-2009,La Liga,Mallorca,Home,W,3,1,,
265,69230.0,2,2009-01-11,2008-2009,La Liga,Osasuna,Away,W,3,2,,
266,69183.0,2,2009-01-17,2008-2009,La Liga,Dep La Coruña,Home,W,5,0,,
267,69189.0,2,2009-01-24,2008-2009,La Liga,Numancia,Home,W,4,1,,
268,69209.0,2,2009-02-01,2008-2009,La Liga,Racing Sant,Away,W,2,1,,
269,69231.0,2,2009-02-08,2008-2009,La Liga,Sporting Gijón,Home,W,3,1,,
270,69195.0,2,2009-02-14,2008-2009,La Liga,Real Betis,Away,D,2,2,,
271,69139.0,2,2009-02-21,2008-2009,La Liga,Espanyol,Home,L,1,2,,
272,,2,2009-02-24,2008-2009,Champions Lg,Lyon,Away,D,1,1,,
273,69185.0,2,2009-03-01,2008-2009,La Liga,Atlético Madrid,Away,L,3,4,,
274,69216.0,2,2009-03-07,2008-2009,La Liga,Athletic Club,Home,W,2,0,,
275,,2,2009-03-11,2008-2009,Champions Lg,Lyon,Home,W,5,2,,
276,69177.0,2,2009-03-15,2008-2009,La Liga,Almería,Away,W,2,0,,
277,69142.0,2,2009-03-22,2008-2009,La Liga,Málaga,Home,W,6,0,,
278,69273.0,2,2009-04-04,2008-2009,La Liga,Valladolid,Away,W,1,0,,
279,,2,2009-04-08,2008-2009,Champions Lg,Bayern Munich,Home,W,4,0,,
280,69222.0,2,2009-04-11,2008-2009,La Liga,Recreativo,Home,W,2,0,,
281,,2,2009-04-14,2008-2009,Champions Lg,Bayern Munich,Away,D,1,1,,
282,69223.0,2,2009-04-18,2008-2009,La Liga,Getafe,Away,W,1,0,,
283,,2,2009-04-22,2008-2009,La Liga,Sevilla,Home,W,4,0,,
284,69251.0,2,2009-04-25,2008-2009,La Liga,Valencia,Away,D,2,2,,
285,,2,2009-04-28,2008-2009,Champions Lg,Chelsea,Home,D,0,0,,
286,69249.0,2,2009-05-02,2008-2009,La Liga,Real Madrid,Away,W,6,2,,
287,,2,2009-05-06,2008-2009,Champions Lg,Chelsea,Away,D,1,1,,
288,69217.0,2,2009-05-10,2008-2009,La Liga,Villarreal,Home,D,3,3,,
289,,2,2009-05-17,2008-2009,La Liga,Mallorca,Away,L,1,2,,
290,,2,2009-05-23,2008-2009,La Liga,Osasuna,Home,L,0,1,,
291,3750201.0,2,2009-05-27,2008-2009,Champions Lg,Manchester Utd,Neutral,W,2,0,,
292,,2,2009-05-30,2008-2009,La Liga,Dep La Coruña,Away,D,1,1,,
293,,2,2009-08-31,2009-2010,La Liga,Sporting Gijón,Home,W,3,0,,
294,69229.0,2,2009-09-12,2009-2010,La Liga,Getafe,Away,W,2,0,,
295,,2,2009-09-16,2009-2010,Champions Lg,Inter,Away,D,0,0,,
296,69292.0,2,2009-09-19,2009-2010,La Liga,Atlético Madrid,Home,W,5,2,,
297,69254.0,2,2009-09-22,2009-2010,La Liga,Racing Sant,Away,W,4,1,,
298,69255.0,2,2009-09-26,2009-2010,La Liga,Málaga,Away,W,2,0,,
299,,2,2009-09-29,2009-2010,Champions Lg,Dynamo Kyiv,Home,W,2,0,,
300,69256.0,2,2009-10-03,2009-2010,La Liga,Almería,Home,W,1,0,,
301,69252.0,2,2009-10-17,2009-2010,La Liga,Valencia,Away,D,0,0,,
302,,2,2009-10-20,2009-2010,Champions Lg,Rubin Kazan,Home,L,1,2,,
303,69253.0,2,2009-10-25,2009-2010,La Liga,Zaragoza,Home,W,6,1,,
304,69277.0,2,2009-10-31,2009-2010,La Liga,Osasuna,Away,D,1,1,,
305,,2,2009-11-04,2009-2010,Champions Lg,Rubin Kazan,Away,D,0,0,,
306,69250.0,2,2009-11-07,2009-2010,La Liga,Mallorca,Home,W,4,2,,
307,69288.0,2,2009-11-21,2009-2010,La Liga,Athletic Club,Away,D,1,1,,
308,,2,2009-11-24,2009-2010,Champions Lg,Inter,Home,W,2,0,,
309,69262.0,2,2009-11-29,2009-2010,La Liga,Real Madrid,Home,W,1,0,,
310,69267.0,2,2009-12-02,2009-2010,La Liga,Xerez,Away,W,2,0,,
311,69218.0,2,2009-12-05,2009-2010,La Liga,Dep La Coruña,Away,W,3,1,,
312,,2,2009-12-09,2009-2010,Champions Lg,Dynamo Kyiv,Away,W,2,1,,
313,,2,2009-12-12,2009-2010,La Liga,Espanyol,Home,W,1,0,,
314,,2,2010-01-02,2009-2010,La Liga,Villarreal,Home,D,1,1,,
315,69219.0,2,2010-01-10,2009-2010,La Liga,Tenerife,Away,W,5,0,,
316,69243.0,2,2010-01-16,2009-2010,La Liga,Sevilla,Home,W,4,0,,
317,69210.0,2,2010-01-23,2009-2010,La Liga,Valladolid,Away,W,3,0,,
318,69220.0,2,2010-01-30,2009-2010,La Liga,Sporting Gijón,Away,W,1,0,,
319,69240.0,2,2010-02-06,2009-2010,La Liga,Getafe,Home,W,2,1,,
320,69237.0,2,2010-02-14,2009-2010,La Liga,Atlético Madrid,Away,L,1,2,,
