Jugador;Minutos;Goles;Asistencias;Amarillas;Rojas;Tiros_Totales;Tiros_Puerta;Porcentaje_Tiros_Puerta;Faltas_Cometidas;Faltas_Recibidas;Fueras_Juego;Centros;Intercepciones;Entradas_Ganadas;Penaltis_Provocados;Penaltis_Cometidos;Goles_Propia;Porterias_a_Cero;Porcentaje_Porterias_Cero;Goles_Encajados;Tiros_Puerta_Recibidos;Paradas;Porcentaje_Paradas;temporada
Éric Abidal;2256;0;1;1;0;;3;;14;;;;;;;;;;;;;;;2011-2012
Thiago Alcántara;2254;2;3;5;1;;12;;37;;;;;;;;;;;;;;;2011-2012
Adriano;2167;1;5;3;0;;11;;19;;;;;;;;;;;;;;;2011-2012
Pedro;2119;9;3;5;0;;33;;30;;;;;;;;;;;;;;;2011-2012
Alexis Sánchez;2022;14;4;4;0;;32;;26;;;;;;;;;;;;;;;2011-2012
Gerard Piqué;1844;2;1;7;1;;8;;16;;;;;;;;;;;;;;;2011-2012
Seydou Keita;1780;3;3;5;0;;7;;42;;;;;;;;;;;;;;;2011-2012
Isaac Cuenca;1423;2;7;2;0;;8;;14;;;;;;;;;;;;;;;2011-2012
David Villa;1229;8;2;2;0;;24;;10;;;;;;;;;;;;;;;2011-2012
Maxwell;558;0;0;1;0;;2;;4;;;;;;;;;;;;;;;2011-2012
Cristian Tello;541;5;0;1;0;;12;;4;;;;;;;;;;;;;;;2011-2012
Martín Montoya;465;1;1;1;0;;1;;0;;;;;;;;;;;;;;;2011-2012
José Manuel Pinto;360;0;0;0;0;;0;;0;;;;;;;;;3;75,0;1;12;11;91,7;2011-2012
Jonathan dos Santos;178;0;0;0;0;;0;;5;;;;;;;;;;;;;;;2011-2012
Sergi Roberto;170;1;0;1;0;;2;;2;;;;;;;;;;;;;;;2011-2012
Andreu Fontàs;168;0;0;0;0;;0;;1;;;;;;;;;;;;;;;2011-2012
Ibrahim Afellay;122;0;0;0;0;;1;;0;;;;;;;;;;;;;;;2011-2012
Marc Bartra;114;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2011-2012
Rafinha;71;0;0;0;0;;2;;1;;;;;;;;;;;;;;;2011-2012
Marc Muniesa;66;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2011-2012
Gerard Deulofeu;48;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2011-2012
Martí Riverola;10;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2011-2012
Víctor Valdés;3780;0;0;0;0;;0;;0;;;;;;;;;11;26,2;51;133;82;61,7;2012-2013
Lionel Messi;3476;54;13;1;0;;119;;13;;;;;;;;;;;;;;;2012-2013
Jordi Alba;3305;4;5;6;0;;7;;40;;;;;;;;;;;;;;;2012-2013
Dani Alves;3139;1;7;4;0;;10;;75;;;;;;;;;;;;;;;2012-2013
Xavi;3139;6;11;0;0;;18;;4;;;;;;;;;;;;;;;2012-2013
Gerard Piqué;3083;2;0;9;1;;6;;19;;;;;;;;;;;;;;;2012-2013
Sergio Busquets;2968;1;2;10;1;;2;;41;;;;;;;;;;;;;;;2012-2013
Pedro;2926;8;8;6;0;;37;;33;;;;;;;;;;;;;;;2012-2013
Andrés Iniesta;2894;4;16;5;0;;32;;21;;;;;;;;;;;;;;;2012-2013
Cesc Fàbregas;2825;12;12;8;0;;29;;38;;;;;;;;;;;;;;;2012-2013
Javier Mascherano;2547;0;0;7;1;;0;;34;;;;;;;;;;;;;;;2012-2013
Alexis Sánchez;2227;9;11;5;0;;31;;47;;;;;;;;;;;;;;;2012-2013
Alexandre Song;1984;1;0;5;0;;3;;33;;;;;;;;;;;;;;;2012-2013
David Villa;1898;11;6;1;0;;38;;14;;;;;;;;;;;;;;;2012-2013
Adriano;1832;5;2;6;0;;16;;30;;;;;;;;;;;;;;;2012-2013
Thiago Alcántara;1530;2;4;4;0;;7;;23;;;;;;;;;;;;;;;2012-2013
Cristian Tello;1353;8;5;0;0;;15;;5;;;;;;;;;;;;;;;2012-2013
Martín Montoya;1249;1;3;0;0;;3;;16;;;;;;;;;;;;;;;2012-2013
Carles Puyol;1232;1;0;3;0;;1;;14;;;;;;;;;;;;;;;2012-2013
Marc Bartra;773;0;0;2;0;;2;;8;;;;;;;;;;;;;;;2012-2013
José Manuel Pinto;720;0;0;1;0;;0;;0;;;;;;;;;3;37,5;7;26;19;73,1;2012-2013
Éric Abidal;187;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2012-2013
Sergi Roberto;101;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2012-2013
Carles Planas;90;0;0;0;0;;0;;0;;;;;;;;;;;;;;;2012-2013
Jonathan dos Santos;63;0;0;0;0;;0;;1;;;;;;;;;;;;;;;2012-2013
Rafinha;58;0;0;1;0;;1;;2;;;;;;;;;;;;;;;2012-2013
Gerard Deulofeu;44;0;0;0;0;;0;;1;;;;;;;;;;;;;;;2012-2013
Sergio Busquets;3442;2;2;13;0;;5;;41;;;;;;;;;;;;;;;2013-2014
Andrés Iniesta;3261;3;10;2;0;;21;;25;;;;;;;;;;;;;;;2013-2014
Javier Mascherano;3168;0;0;11;0;;0;;47;;;;;;;;;;;;;;;2013-2014
