season,player,nation,pos,age,mp,starts,min,goals,assists
2015-2016,Gerard Piqué,es ESP,DF,28.0,7,7,596,1,0
2015-2016,Sergi Roberto,es ESP,"MF,DF",23.0,8,4,334,1,0
2015-2016,Adriano,br BRA,DF,30.0,3,2,206,1,0
2015-2016,Marc-André ter Stegen,de GER,GK,23.0,10,10,900,0,0
2015-2016,Sergio Busquets,es ESP,MF,27.0,9,9,724,0,0
2015-2016,Jordi Alba,es ESP,DF,26.0,9,8,734,0,1
2015-2016,Dani Alves,br BRA,DF,32.0,8,8,694,0,3
2015-2016,Javier Mascherano,ar ARG,"DF,MF",31.0,8,7,655,0,0
2015-2016,Andrés Iniesta,es ESP,"MF,FW",31.0,7,7,553,0,0
2015-2016,Jérémy Mathieu,fr FRA,DF,31.0,3,3,270,0,0
2015-2016,Thomas Vermaelen,be BEL,DF,29.0,3,3,270,0,0
2015-2016,Munir El Haddadi,ma MAR,FW,19.0,4,2,257,0,2
2015-2016,Marc Bartra,es ESP,DF,24.0,4,2,236,0,0
2015-2016,Sandro Ramírez,,,,3,2,173,0,0
2015-2016,Sandro Ramírez,es ESP,FW,20.0,3,2,173,0,0
2015-2016,Sergi Samper,es ESP,MF,20.0,2,1,134,0,0
2015-2016,Wilfrid Kaptoum,cm CMR,MF,19.0,1,1,62,0,0
2015-2016,Gerard Gumbau,es ESP,MF,20.0,3,0,60,0,0
2015-2016,Arda Turan,tr TUR,"FW,MF",28.0,3,0,46,0,0
2015-2016,Rafinha,br BRA,MF,22.0,2,0,31,0,0
2015-2016,Juan Cámara,es ESP,MF,21.0,1,0,16,0,0
2015-2016,Claudio Bravo,cl CHI,GK,32.0,0,0,0,0,0
2015-2016,Douglas,br BRA,DF,24.0,0,0,0,0,0
2015-2016,Jordi Masip,es ESP,GK,26.0,0,0,0,0,0
2015-2016,Aleix Vidal,es ESP,"DF,MF",25.0,0,0,0,0,0
2016-2017,Lionel Messi,ar ARG,FW,29.0,9,9,810,11,2
2016-2017,Neymar,br BRA,FW,24.0,9,9,797,4,8
2016-2017,Arda Turan,tr TUR,FW,29.0,5,1,172,4,1
2016-2017,Luis Suárez,uy URU,FW,29.0,9,9,810,3,3
2016-2017,Gerard Piqué,es ESP,DF,29.0,8,8,651,1,0
2016-2017,Sergi Roberto,es ESP,DF,24.0,8,7,632,1,0
2016-2017,Andrés Iniesta,es ESP,MF,32.0,8,7,593,1,3
2016-2017,Marc-André ter Stegen,de GER,GK,24.0,9,9,810,0,0
2016-2017,Samuel Umtiti,fr FRA,DF,22.0,8,8,720,0,0
2016-2017,Sergio Busquets,es ESP,MF,28.0,8,8,691,0,0
2016-2017,Ivan Rakitić,hr CRO,MF,28.0,9,8,595,0,0
